var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:aftb_v320m",2.11875,.5770315,3.671809,.0002408,.9877886,3.249711
"log2mic:eis_g37t",2.539109,.1786912,14.20947,0,2.18888,2.889337
"log2mic:eis_c15g",1.04805,.3068381,3.415646,.0006363,.4466587,1.649442
"log2mic:eis_c14t",2.929978,.1594194,18.37905,0,2.617521,3.242434
"log2mic:eis_c12t",1.459113,.1280383,11.39591,0,1.208163,1.710063
"log2mic:eis_g10a",2.256125,.1253329,18.00105,0,2.010477,2.501773
"log2mic:eis_g10c",1.606857,.2030891,7.912077,2.44e-15,1.208809,2.004904
"log2mic:eis_g6t",2.110746,.5622516,3.754096,.000174,1.008753,3.212739
"log2mic:eis_v1v",-3.034092,.5447477,-5.56972,2.55e-08,-4.101778,-1.966406
"log2mic:eis_v163i",-.2528085,.082105,-3.079089,.0020763,-.4137314,-.0918857
"log2mic:eis_l331r",1.661668,.5975149,2.780965,.0054198,.4905605,2.832776
"log2mic:eis_448_indel",-3.5856,1.101917,-3.253965,.0011381,-5.745318,-1.425882
"log2mic:eis_807_indel",-.9138556,.1657507,-5.513435,3.52e-08,-1.238721,-.5889902
"log2mic:rrs_c492t",.2077225,.069312,2.996918,.0027272,.0718734,.3435716
"log2mic:rrs_a514c",-.3191065,.088625,-3.600638,.0003174,-.4928083,-.1454047
"log2mic:rrs_c517t",-.2750404,.1251205,-2.198205,.0279345,-.520272,-.0298088
"log2mic:rrs_a1401g",4.487918,.0627985,71.46536,0,4.364835,4.611001
"log2mic:rrs_c1402t",2.909804,.3716092,7.830278,4.88e-15,2.181463,3.638145
"log2mic:rrs_g1484t",2.624076,.2807104,9.347984,0,2.073894,3.174259
"log2mic:rrs_c1489t",1.821119,.5966994,3.051987,.0022733,.6516095,2.990628
"log2mic:rrs_g1523a",2.136819,.5418814,3.943333,.0000804,1.074751,3.198887
"log2mic:whib6_4_indel",-1.868764,.5597789,-3.338398,.0008426,-2.965911,-.7716179
"log2mic:whib6_r40c",1.105205,.4057636,2.723766,.0064542,.3099231,1.900487
"log2mic:whib7_t100c",-.8488689,.1216707,-6.976775,3.02e-12,-1.087339,-.6103988
"log2mic:whib7_a80c",1.049132,.3302809,3.176486,.0014907,.4017938,1.696471
"log2mic:whib7_t57g",1.273827,.414672,3.07189,.0021271,.4610847,2.086569
"log2mic:eis_c14t__rrs_c517t",-.6795222,.3472456,-1.956892,.0503602,-1.360111,.0010667
"log2mic:eis_c12t__rrs_a514c",-.1898227,.3380323,-.5615522,.5744212,-.8523539,.4727083
"log2mic:eis_v163i__rrs_a514c",.0390103,.398032,.0980079,.921926,-.7411181,.8191386
"log2mic:eis_v163i__rrs_a1401g",1.206805,.4385851,2.751585,.0059308,.3471934,2.066416
"log2mic:eis_807_indel__rrs_a514c",.1999548,.4633554,.4315366,.6660783,-.7082051,1.108115
"log2mic:rrs_a514c__rrs_a1401g",.3943938,.180155,2.189191,.028583,.0412964,.7474912
"log2mic:1.lineage",-.6302484,.0520598,-12.10624,0,-.7322837,-.5282131
"log2mic:2.lineage",-.4358726,.0349449,-12.47314,0,-.5043634,-.3673819
"log2mic:3.lineage",-.302854,.044117,-6.86479,6.66e-12,-.3893218,-.2163863
"log2mic:4b.lineage",0,0,,,0,0
"log2mic:6.lineage",-.5050079,.3952112,-1.277818,.2013137,-1.279608,.2695919
"log2mic:2b.siteid",0,0,,,0,0
"log2mic:3.siteid",-.4303738,.0468233,-9.191446,0,-.5221458,-.3386018
"log2mic:4.siteid",-.5110176,.0517368,-9.877248,0,-.6124199,-.4096152
"log2mic:5.siteid",-.1692385,.0465112,-3.638663,.0002741,-.2603987,-.0780783
"log2mic:6.siteid",.0275206,.0471271,.5839654,.5592436,-.0648468,.119888
"log2mic:8.siteid",-.1066892,.046963,-2.271774,.0231002,-.1987349,-.0146435
"log2mic:10.siteid",.2630457,.0501191,5.248411,1.53e-07,.164814,.3612774
"log2mic:11.siteid",-.1395575,.4412842,-.3162531,.7518104,-1.004459,.7253437
"log2mic:14.siteid",-.1383275,.070655,-1.957788,.0502549,-.2768087,.0001537
"log2mic:20.siteid",.5328192,.0654324,8.143046,4.44e-16,.404574,.6610644
"log2mic:_cons",.5670025,.0379799,14.929,0,.4925632,.6414418
"/var(_cons[cluster100])",.0615678,.0083623,7.362503,1.81e-13,.0451779,.0779577
"/var(e.log2mic)",.5276479,.0117368,44.95672,0,.5046442,.5506516
