glpK_L228V__mmpL5_Y300!,mmpL5_A273G__Rv3249c_V83M,mmpL5_P445L,mmpL5_Y586!,Rv0678_L83P,Rv0678_R90C,Rv0678_L117R,Rv0678_274_indel,Rv1979c_247_indel,Rv1979c_R409Q,Rv3249c_A17A,LINEAGE,SITEID,UNIQUEID,PLATEDESIGN,LOG2MIC,UPLOG2MIC,cluster12,cluster25,cluster50,cluster100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,site.10.subj.YA00033005.lab.YA00033005.iso.1,UKMYC5,-3.06,-2.0,3100,6201,6201,3100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.05TB21119.lab.26636.iso.1,UKMYC5,-8.059999999999999,-4.06,2347,350,614,1229
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,site.06.subj.GDH_17993.lab.06MIL0101.iso.1,UKMYC5,-8.059999999999999,-4.06,3683,3683,1841,253
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,site.08.subj.02TB2786.lab.26537.iso.1,UKMYC5,-8.059999999999999,-4.06,4658,2328,2328,4657
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,10,site.10.subj.YA00038883.lab.YA00038883.iso.1,UKMYC5,-2.0,-1.0,2585,102,474,816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.GB-82620147.lab.82620147.iso.1,UKMYC6,-5.06,-4.06,8441,8441,4220,4220
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.EF00485556.lab.EF00485556.iso.1,UKMYC5,-8.059999999999999,-4.06,5320,2046,195,248
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,10,site.10.subj.XD01977268.lab.XD01977268.iso.1,UKMYC6,-5.06,-4.06,4991,1074,203,816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,site.08.subj.24TB-081.lab.2249.iso.1,UKMYC5,-8.059999999999999,-4.06,4986,1102,1102,1102
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.T1399.lab.T1399.iso.1,UKMYC5,-8.059999999999999,-4.06,98,507,400,211
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00053287.lab.YA00053287.iso.1,UKMYC5,-8.059999999999999,-4.06,5508,5508,5508,345
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-0867.lab.MA-02597-18.iso.1,UKMYC6,-8.059999999999999,-5.06,10881,5440,5440,1246
