var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:mmpl5_g246s",-.6003585,.2259941,-2.656523,.0078951,-1.043299,-.1574182
"log2mic:mmpl5_h437r",.3958876,.4757297,.8321692,.4053135,-.5365255,1.328301
"log2mic:rv3249c_e185e",-2.450486,1.139607,-2.150291,.0315322,-4.684074,-.2168978
"log2mic:rv3249c_v210v",1.916216,.9609974,1.993986,.0461536,.0326953,3.799736
"log2mic:mmpl5_g759s",1.182224,1.139044,1.03791,.2993122,-1.050261,3.414709
"log2mic:rv0678_i108t",-.1636242,1.138194,-.1437578,.8856917,-2.394443,2.067194
"log2mic:mmpl5_i732v",.8278622,.7024649,1.17851,.2385932,-.5489438,2.204668
"log2mic:mmpl5_y586y",.1734757,.5102577,.3399766,.7338741,-.8266111,1.173562
"log2mic:mmpl5_e723d",.4539483,.5963407,.7612231,.4465238,-.714858,1.622755
"log2mic:mmpl5_a359t",-.5060429,.6637919,-.7623518,.4458501,-1.807051,.7949653
"log2mic:mmps5_g74t",-.8205674,.3308185,-2.480416,.0131229,-1.46896,-.172175
"log2mic:rv1979c_v426i",-.1664289,.1830696,-.9091017,.3632964,-.5252387,.1923809
"log2mic:rv1979c_a378t",-2.099577,1.630128,-1.287983,.1977519,-5.29457,1.095416
"log2mic:rv0678_274_indel",1.801756,.5665773,3.180071,.0014724,.691285,2.912227
"log2mic:mmpl5_p180l",-1.852046,2.254968,-.8213181,.4114651,-6.271703,2.567611
"log2mic:rv1979c_s262l",.4627113,.5808574,.7966006,.4256831,-.6757483,1.601171
"log2mic:rv1979c_g443g",1.159281,.7279802,1.592462,.1112809,-.2675342,2.586096
"log2mic:mmpl5_s894",-2.037289,1.175919,-1.732507,.0831833,-4.342049,.2674706
"log2mic:pepq_a305v",.6479537,.9637934,.6722952,.5013958,-1.241047,2.536954
"log2mic:rv0678_q51r",1.912967,.927319,2.062901,.0391221,.0954552,3.730479
"log2mic:rv1979c_g70a",-.3718155,.5023196,-.7401971,.4591804,-1.356344,.6127129
"log2mic:rv1979c_s219a",-1.852046,1.594986,-1.161168,.2455737,-4.978162,1.274069
