var,coef,stderr,tstat,pval,ci_lower,ci_upper
"model:rpob_p45s",.4857079,.425404,1.141757,.2535551,-.3480686,1.319484
"model:rpob_s450l",7.070909,.0744936,94.91967,0,6.924904,7.216914
"model:rpob_d435g",3.385294,.3365419,10.05906,0,2.725684,4.044904
"model:rpob_i491l",.8732706,.4278149,2.041234,.0412275,.0347688,1.711773
"model:rv2752c_m31i",.0414129,.1662842,.2490488,.803323,-.2844983,.367324
"model:rpoc_a492p",.6728408,.9759499,.6894214,.4905581,-1.239986,2.585667
"model:rpoc_v483a",.053972,.1354767,.3983858,.6903458,-.2115575,.3195015
"model:rpob_e132e",7.42e-18,2.384117,3.11e-18,1,-4.672783,4.672783
"model:rpob_m587i",-.31625,1.685982,-.1875761,.8512089,-3.620713,2.988214
"model:rpoc_q1291q",.5186487,.8997473,.5764382,.564319,-1.244824,2.282121
"model:rv2752c_s439s",-.31625,1.19228,-.2652481,.7908183,-2.653075,2.020576
"model:rpob_d545e",-.31625,.6886188,-.4592526,.6460528,-1.665918,1.033418
"model:rpob_h445y",7.283223,.1597675,45.58638,0,6.970085,7.596362
"model:rpob_1288_indel",4.582131,.3357933,13.64569,0,3.923989,5.240274
"model:rpob_h445d",7.336001,.1796134,40.84328,0,6.983965,7.688037
"model:rpob_h445l",1.499316,.2056572,7.290366,3.09e-13,1.096236,1.902397
"model:rpoa_t187a",-1.10442,.4368586,-2.528096,.0114683,-1.960647,-.2481932
"model:rpob_l430p",.8035213,.170731,4.706359,2.52e-06,.4688947,1.138148
"model:rpob_n437d",.6630471,.5899886,1.12383,.261085,-.4933093,1.819404
"model:rpoc_n698s",.0562136,.3137088,.1791903,.8577883,-.5586443,.6710715
"model:rv2752c_l355l",.2584642,.317474,.814127,.4155722,-.3637735,.8807018
"model:rpoc_d1078d",-.31625,.9735829,-.3248311,.7453089,-2.224437,1.591937
"model:rv2752c_r465w",-.8244692,.61733,-1.335541,.1816995,-2.034414,.3854753
"model:rpoc_v483g",.2276566,.1494992,1.522794,.1278102,-.0653565,.5206696
"model:rpob_p45r",1.129379,.9424668,1.198322,.2307915,-.717822,2.97658
"model:rpob_v170a",1.409817,.7951478,1.773024,.0762247,-.1486447,2.968278
"model:rpob_q172r",1.809904,.9726869,1.860726,.0627828,-.0965272,3.716335
"model:rpob_d92g",.460527,1.202582,.3829485,.7017579,-1.89649,2.817544
"model:rpob_h445r",6.851344,.3894537,17.59219,0,6.088028,7.614659
"model:rpob_i414i",.2820877,1.657262,.1702131,.8648425,-2.966085,3.530261
"model:rpob_g1063g",-.2820877,.9229549,-.3056355,.7598822,-2.091046,1.526871
"model:rpoc_s881s",-.31625,1.19228,-.2652481,.7908183,-2.653075,2.020576
"model:rpoc_d3d",-.1976409,.9937252,-.1988889,.8423496,-2.145307,1.750025
"model:rpob_d435v",3.402312,.0694582,48.9836,0,3.266176,3.538447
"model:rpoc_q440r",.0350345,.520759,.0672758,.9463621,-.9856345,1.055704
"model:rpoc_l1086l",-.31625,1.685982,-.1875761,.8512089,-3.620713,2.988214
"model:rpoc_f1175l",-.3977766,1.196894,-.3323409,.7396319,-2.743645,1.948092
"model:rpob_d631g",.6728408,1.68735,.398756,.690073,-2.634304,3.979985
"model:rpob_i910v",-.31625,.9735829,-.3248311,.7453089,-2.224437,1.591937
"model:rpoc_p1040s",-1.024158,.5038925,-2.032493,.0421038,-2.011769,-.0365467
"model:rpoa_t33t",.1575889,1.189196,.1325172,.8945752,-2.173192,2.48837
"model:rpoc_v1252l",-.5837297,.2866548,-2.036351,.0417151,-1.145563,-.0218966
"model:rpob_l452p",2.569148,.1671666,15.36879,0,2.241508,2.896789
"model:rpob_a286v",.5475563,.4376134,1.251233,.2108495,-.3101502,1.405263
"model:rpob_a267a",.905643,1.200944,.7541093,.4507836,-1.448164,3.25945
"model:rpoc_p1040r",-.2328023,.1621267,-1.435928,.1510227,-.5505648,.0849602
"model:rpob_d435y",2.053437,.1719242,11.94385,0,1.716472,2.390402
"model:rv2752c_t160t",-.196797,1.306312,-.1506508,.8802512,-2.757122,2.363528
"model:rpob_t756a",.7501848,1.0718,.6999297,.4839712,-1.350505,2.850874
"model:rpob_h445q",2.115494,.6406122,3.302301,.0009589,.8599176,3.371071
"model:rpoc_l716f",.460527,1.202582,.3829485,.7017579,-1.89649,2.817544
"model:rpoc_e750a",.6728408,1.194214,.5634175,.5731506,-1.667775,3.013456
"model:rpoc_l1257l",.3357622,.96136,.3492575,.726896,-1.548469,2.219993
"model:rpoc_t337t",.8569884,1.064645,.8049521,.4208473,-1.229678,2.943655
"model:rpob_i491f",1.715569,.3004764,5.709497,1.13e-08,1.126646,2.304492
"model:rpob_r448q",2.837609,.8091141,3.507056,.0004531,1.251774,4.423443
"model:rpob_g675d",.8155755,1.07713,.7571744,.4489454,-1.295561,2.926712
"model:rpob_t6c",-.2123021,.6370628,-.3332514,.7389445,-1.460922,1.036318
"model:rpoc_m515i",-.3119638,.852755,-.3658305,.7144915,-1.983333,1.359405
"model:rpoc_f452c",.6728408,.6919613,.9723676,.3308677,-.6833786,2.02906
"model:rpoc_l507v",.3748811,.3287792,1.140222,.254194,-.2695142,1.019276
"model:rpoa_g31s",.6728408,.6412049,1.049338,.2940225,-.5838978,1.929579
"model:rpoc_i491v",-.476383,.1442592,-3.302272,.0009591,-.7591258,-.1936402
"model:rpob_s441l",3.17583,.5381901,5.900944,3.61e-09,2.120997,4.230663
"model:rpob_k446r",.6139887,1.031981,.5949611,.5518695,-1.408657,2.636635
"model:rpoc_a230v",-.31625,1.19228,-.2652481,.7908183,-2.653075,2.020576
"model:rpob_l232l",-.3576629,1.203442,-.2971999,.7663139,-2.716366,2.00104
"model:rpoc_l449r",-1.827159,.9930659,-1.839917,.0657804,-3.773533,.1192142
"model:rpoc_g433c",.6728408,1.68735,.398756,.690073,-2.634304,3.979985
"model:rpoc_a521d",.1421062,.6090839,.2333114,.8155196,-1.051676,1.335889
"model:rpoc_e1092d",-.0176073,.1115133,-.1578942,.8745402,-.2361694,.2009548
"model:rpob_t400a",.6645432,.5768627,1.151995,.249323,-.466087,1.795173
"model:rv2752c_r257w",1.92949,1.132701,1.703442,.0884854,-.2905626,4.149543
"model:rpob_m434i",-1.408371,.6013837,-2.341884,.0191867,-2.587061,-.2296802
"model:rpoc_d485h",-5.188782,1.30486,-3.976506,.0000699,-7.746261,-2.631304
"model:rpoc_n416s",.2095027,.4550871,.4603572,.6452598,-.6824517,1.101457
"model:rpoc_f452l",.5169829,.3220025,1.605524,.1083784,-.1141305,1.148096
"model:rpob_f424v",4.277386,1.169756,3.656649,.0002555,1.984707,6.570065
"model:rpob_s672f",-2.591121,.9483274,-2.732306,.0062893,-4.449809,-.7324336
"model:rpoc_t812i",-.0895759,.3849599,-.232689,.816003,-.8440835,.6649317
"model:rpoc_g433s",-.5196327,.2507963,-2.071932,.0382718,-1.011184,-.0280811
"model:rpoc_s603s",-.31625,1.685982,-.1875761,.8512089,-3.620713,2.988214
"model:rpoc_n698k",.6728408,1.194214,.5634175,.5731506,-1.667775,3.013456
"model:rv2752c_p390l",-.651123,.5240532,-1.242475,.2140613,-1.678248,.3760023
"model:rpob_h445n",1.894253,.2546362,7.439057,1.01e-13,1.395175,2.393331
"model:rv2752c_p91l",.6728408,1.68735,.398756,.690073,-2.634304,3.979985
