var,coef,stderr,tstat,pval,ci_lower,ci_upper
"model:rplc_v185i",-.2392696,.3159477,-.7573078,.4488655,-.8585157,.3799765
"model:rv3249c_e185e",.3298645,1.297086,.254312,.7992545,-2.212377,2.872106
"model:rv3249c_v210v",.3026411,1.200922,.2520074,.8010353,-2.051122,2.656404
"model:rrl_3047_indel",.046552,.6010308,.0774536,.9382627,-1.131447,1.224551
"model:rrl_c344t",.6968035,.0722314,9.646821,0,.5552325,.8383745
"model:rplc_t27t",.1403524,.3336961,.4205996,.6740475,-.5136799,.7943848
"model:rrl_c2921a",.3026411,.8492319,.3563704,.7215632,-1.361823,1.967105
"model:rv3249c_r13q",.8026411,.8490569,.9453325,.3444891,-.8614799,2.466762
"model:rplc_t71t",-.3401482,.3008269,-1.130711,.2581769,-.9297581,.2494617
"model:rrl_t303c",-.7273589,1.205551,-.6033412,.5462817,-3.090196,1.635478
"model:rrl_a2317g",.3026411,1.200922,.2520074,.8010353,-2.051122,2.656404
"model:rrl_a2297g",.3365959,.8504502,.3957855,.6922632,-1.330256,2.003448
"model:rrl_c2964a",-1.227359,.8476653,-1.447929,.147637,-2.888752,.4340346
"model:rrl_g19a",.3026411,.8492319,.3563704,.7215632,-1.361823,1.967105
"model:rv3249c_t154a",.2880063,.0914872,3.148049,.0016436,.1086946,.4673181
"model:rrl_c276t",-.0912073,.8650744,-.1054329,.9160323,-1.786722,1.604307
"model:rplc_t67t",.2180252,.1404303,1.552552,.1205303,-.057213,.4932635
"model:rrl_c637g",.924255,.1693464,5.457778,4.82e-08,.5923421,1.256168
"model:rplc_t115a",.2613116,.2408065,1.085152,.2778545,-.2106605,.7332836
"model:rrl_a21g",-.5981396,.2972771,-2.012061,.0442135,-1.180792,-.0154873
"model:rrl_a1875g",-1.757359,1.200922,-1.463342,.1433738,-4.111122,.5964041
"model:rrl_c2064t",1.018089,.5631461,1.80786,.0706283,-.0856567,2.121835
"model:rrl_c807t",1.078301,.292042,3.69228,.0002223,.505909,1.650692
"model:rrl_c211t",.9056195,.2928284,3.092663,.0019837,.3316863,1.479553
"model:rrl_596_indel",2.395124,.8743588,2.739291,.0061572,.6814119,4.108836
"model:rrl_1570_indel",.0099017,.4544751,.0217872,.9826177,-.8808531,.9006566
"model:rrl_c1847a",.299852,.4248757,.7057406,.4803495,-.5328891,1.132593
"model:rrl_c1264t",.0446043,.3472351,.1284556,.8977885,-.635964,.7251726
"model:rv3249c_l131l",-.2273589,.8476653,-.2682177,.7885317,-1.888752,1.434035
"model:rplc_l86l",.64203,.4916084,1.305979,.1915599,-.3215047,1.605565
"model:rrl_c1253t",.0846158,.8605587,.0983266,.9216729,-1.602048,1.77128
"model:rrl_g982a",-.6154903,.4011042,-1.53449,.1249093,-1.40164,.1706596
"model:rrl_g2399a",-.164209,.1453023,-1.130119,.2584259,-.4489963,.1205783
"model:rv3249c_r204r",-.5932115,.2342323,-2.532577,.0113227,-1.052298,-.1341245
"model:rrl_g1052t",.5253019,.2487265,2.111966,.0346894,.037807,1.012797
"model:rrl_t1859c",1.302641,.8485432,1.53515,.124747,-.3604732,2.965755
