var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:rplc_c154r",3.045684,.3418545,8.909301,0,2.375662,3.715707
"log2mic:1.lineage",-.0098833,.0971833,-.1016974,.9189968,-.2003591,.1805925
"log2mic:2.lineage",-.11591,.0631983,-1.834068,.0666439,-.2397765,.0079564
"log2mic:3.lineage",-.0654305,.1029369,-.6356365,.5250134,-.2671831,.1363222
"log2mic:4b.lineage",0,0,,,0,0
"log2mic:6o.lineage",0,0,,,0,0
"log2mic:2b.siteid",0,0,,,0,0
"log2mic:3.siteid",-.5491102,.0774659,-7.088408,1.36e-12,-.7009407,-.3972798
"log2mic:4.siteid",-.7853001,.0933846,-8.409307,0,-.9683306,-.6022695
"log2mic:5.siteid",-.0280969,.0850667,-.3302926,.7411789,-.1948246,.1386308
"log2mic:6.siteid",-.6341529,.1201063,-5.27993,1.29e-07,-.869557,-.3987488
"log2mic:8.siteid",-.4022923,.0879401,-4.574619,4.77e-06,-.5746517,-.2299329
"log2mic:10.siteid",-.0717059,.0939293,-.7634022,.4452235,-.255804,.1123923
"log2mic:11.siteid",-1.149668,.4919669,-2.33688,.0194454,-2.113905,-.1854304
"log2mic:14.siteid",.1090766,.2680174,.4069759,.6840257,-.4162278,.634381
"log2mic:20.siteid",-.0738053,.2228043,-.331256,.7404511,-.5104938,.3628832
"log2mic:1b.dummy1",0,0,,,0,0
"log2mic:1b.rif",0,0,,,0,0
"log2mic:3.rif",.266817,.1059647,2.517981,.011803,.0591301,.474504
"log2mic:1b.inh",0,0,,,0,0
"log2mic:2.inh",-.2065371,.1025566,-2.013883,.0440218,-.4075444,-.0055298
"log2mic:3.inh",-.1637974,.0639456,-2.56151,.0104218,-.2891285,-.0384662
"log2mic:1b.emb",0,0,,,0,0
"log2mic:2.emb",.1881339,.0738058,2.549038,.010802,.0434771,.3327906
"log2mic:3.emb",.282355,.0799823,3.530217,.0004152,.1255925,.4391174
"log2mic:1b.ami",0,0,,,0,0
"log2mic:3.ami",-.1967815,.258882,-.7601203,.4471827,-.704181,.310618
"log2mic:1b.kan",0,0,,,0,0
"log2mic:3.kan",-.0312983,.2539797,-.1232316,.9019237,-.5290895,.4664928
"log2mic:1b.lev",0,0,,,0,0
"log2mic:3.lev",.2729298,.0834521,3.270497,.0010736,.1093667,.4364928
"log2mic:1b.mxf",0,0,,,0,0
"log2mic:3.mxf",.0401446,.0924774,.4341012,.664215,-.1411078,.221397
"log2mic:1b.eth",0,0,,,0,0
"log2mic:2.eth",.162624,.0738525,2.202011,.0276645,.0178758,.3073722
"log2mic:3.eth",.1303769,.0684777,1.903933,.0569189,-.0038369,.2645908
"log2mic:1b.rfb",0,0,,,0,0
"log2mic:3.rfb",-.3571082,.094843,-3.765258,.0001664,-.542997,-.1712194
"log2mic:1b.bdq",0,0,,,0,0
"log2mic:3.bdq",-.1031512,.5295183,-.194802,.8455479,-1.140988,.9346856
"log2mic:1b.dlm",0,0,,,0,0
"log2mic:3.dlm",1.165893,.211651,5.508565,3.62e-08,.7510651,1.580722
"log2mic:1b.cfz",0,0,,,0,0
"log2mic:3.cfz",2.793065,.4192924,6.661378,2.71e-11,1.971267,3.614863
"log2mic:1b.dummy2",0,0,,,0,0
"log2mic:_cons",-1.781633,.0686147,-25.96576,0,-1.916116,-1.647151
"/var(_cons[cluster100])",.139137,.0308287,4.513233,6.38e-06,.0787139,.19956
"/var(e.log2mic)",.4245532,.0236733,17.93385,0,.3781544,.470952
