var,coef,stderr,tstat,pval,ci_lower,ci_upper
"model:fbic_v713l",-.9424854,1.290577,-.7302822,.4652177,-3.47197,1.586999
"model:fbic_d100e",-.9424854,.5592377,-1.685304,.09193,-2.038571,.1536004
"model:fbia_s35a",3.127142,1.116348,2.801226,.0050909,.9391407,5.315143
"model:fbia_l113l",.0607655,.3418609,.1777491,.85892,-.6092695,.7308004
"model:fbic_i453v",-.9424854,1.58054,-.5963058,.5509709,-4.040287,2.155317
"model:fbic_v65v",-1.003251,1.616763,-.6205304,.5349087,-4.172049,2.165547
"model:rv3249c_v210v",-.9424854,2.235098,-.4216752,.6732621,-5.323197,3.438226
"model:fbic_a594s",4.029422,1.388857,2.901252,.0037168,1.307313,6.751531
"model:fbic_g15t",-.9424854,1.58054,-.5963058,.5509709,-4.040287,2.155317
"model:rv2983_r133r",-.9424854,.7453621,-1.264467,.2060626,-2.403368,.5183975
"model:rv2983_a32t",-.9424854,1.58054,-.5963058,.5509709,-4.040287,2.155317
"model:fbia_v188i",-.9424854,.6742799,-1.397766,.1621834,-2.26405,.3790789
"model:fbic_a754v",-.9424854,1.58054,-.5963058,.5509709,-4.040287,2.155317
"model:fbia_g248g",4.232114,1.347942,3.139687,.0016913,1.590197,6.874032
"model:rv2983_q121h",-.9424854,.8450678,-1.115278,.2647313,-2.598788,.7138171
"model:fgd1_q258q",-.7789037,.4033576,-1.93105,.0534769,-1.56947,.0116628
"model:ddn_362_indel",8.572515,1.456215,5.886848,3.94e-09,5.718386,11.42664
"model:fgd1_g168g",.9884223,.7335389,1.347471,.1778286,-.4492876,2.426132
"model:rv2983_i59l",-.4674732,.8178318,-.5716007,.5675926,-2.070394,1.135448
"model:fbic_g839a",-.9424854,.9997872,-.942686,.3458415,-2.902032,1.017061
"model:rv2983_a168a",.4978968,1.417284,.3513034,.7253608,-2.27993,3.275723
"model:fbia_q27p",-.9424854,1.290577,-.7302822,.4652177,-3.47197,1.586999
"model:fbib_r253h",-.9424854,1.58054,-.5963058,.5509709,-4.040287,2.155317
"model:fgd1_a281a",-1.11115,1.253483,-.8864504,.3753749,-3.567931,1.345631
"model:fbib_e81e",-.9424854,1.58054,-.5963058,.5509709,-4.040287,2.155317
"model:rv2983_t148t",8.572515,2.059264,4.162902,.0000314,4.536431,12.6086
"model:fbib_d437g",-.9424854,1.58054,-.5963058,.5509709,-4.040287,2.155317
"model:rv3249c_r13q",-.9424854,2.235098,-.4216752,.6732621,-5.323197,3.438226
"model:fbic_g166g",.7323241,1.032922,.7089831,.478335,-1.292166,2.756814
"model:fbia_l289l",-.9424854,1.290577,-.7302822,.4652177,-3.47197,1.586999
"model:fbic_g33a",.3985297,1.432832,.2781412,.780904,-2.40977,3.20683
"model:fbic_l39l",-1.188546,1.513913,-.785082,.4324055,-4.155762,1.77867
