var,coef,stderr,tstat,pval,ci_lower,ci_upper
"model:mmpl5_g246s",-.1291491,.3024925,-.4269499,.6694158,-.7220236,.4637253
"model:mmpl5_h437r",.4736424,.818059,.5789832,.5626005,-1.129724,2.077009
"model:rv3249c_e185e",-2.674788,1.994454,-1.341113,.1798837,-6.583847,1.234269
"model:rv3249c_v210v",2.034979,1.725311,1.179486,.2382048,-1.346568,5.416526
"model:mmpl5_g759s",3.174788,1.576008,2.014449,.0439624,.0858686,6.263708
"model:rv0678_i108t",.3879837,2.164269,.1792677,.8577275,-3.853907,4.629874
"model:mmpl5_i732v",.6169956,1.311105,.470592,.6379321,-1.952723,3.186714
"model:mmpl5_y586y",.5501405,.8926182,.6163223,.5376818,-1.199359,2.29964
"model:mmpl5_e723d",1.372868,.8860953,1.549345,.1212987,-.3638473,3.109583
"model:mmpl5_a359t",-.7920359,.909025,-.8713027,.3835889,-2.573692,.9896203
"model:mmps5_g74t",-.2279361,.2258916,-1.009051,.3129503,-.6706755,.2148033
"model:rv1979c_v426i",-.3077498,.2045648,-1.504412,.1324752,-.7086895,.0931898
"model:rv1979c_a378t",-1.495021,1.528347,-.9781944,.3279782,-4.490527,1.500485
"model:rv0678_274_indel",2.109564,.9957997,2.118462,.034136,.1578324,4.061296
"model:mmpl5_p180l",-1.495021,1.247956,-1.197976,.2309264,-3.940969,.9509273
"model:rv1979c_s262l",1.004979,.9944826,1.010555,.3122295,-.944171,2.954129
"model:rv1979c_g443g",1.519054,1.21895,1.246199,.2126914,-.8700442,3.908152
"model:mmpl5_s894",-1.495021,1.080818,-1.383231,.166594,-3.613385,.6233431
"model:pepq_a305v",1.004979,1.217887,.8251825,.409268,-1.382036,3.391994
"model:rv0678_q51r",4.064979,1.217782,3.338018,.0008438,1.67817,6.451788
"model:rv1979c_g70a",-.4032297,.7981961,-.5051762,.613435,-1.967665,1.161206
"model:rv1979c_s219a",-1.495021,1.528347,-.9781944,.3279782,-4.490527,1.500485
"model:mmpl5_s71p",1.018162,1.218859,.83534,.4035263,-1.370758,3.407082
"model:mmpl5_v376v",4.203183,1.252159,3.356747,.0007887,1.748995,6.65737
"model:mmpl5_t10a",-1.495021,1.528347,-.9781944,.3279782,-4.490527,1.500485
"model:rv1979c_324_indel",-.4678796,.7054281,-.6632563,.5071664,-1.850493,.914734
"model:pepq_l33l",-1.495021,2.161297,-.6917241,.4891106,-5.731085,2.741043
"model:mmpl5_851_indel",-1.495021,1.528347,-.9781944,.3279782,-4.490527,1.500485
"model:mmpl5_t606a",.0168904,1.325452,.0127431,.9898328,-2.580947,2.614728
"model:rv0678_m73i",1.004979,1.722211,.5835402,.5595297,-2.370492,4.38045
"model:rv1979c_r88h",1.347496,.9950542,1.354194,.1756746,-.6027745,3.297767
"model:mmpl5_a298a",1.120443,.9033648,1.240299,.2148647,-.6501197,2.891005
"model:mmpl5_l831l",2.034979,1.725311,1.179486,.2382048,-1.346568,5.416526
"model:rv1979c_p418p",.2853414,1.146786,.2488183,.8035014,-1.962318,2.533001
"model:rv1979c_l14l",-1.111039,.3303505,-3.363212,.0007704,-1.758514,-.4635638
"model:rv1979c_v96i",-1.495021,2.161297,-.6917241,.4891106,-5.731085,2.741043
"model:rv1979c_339_indel",.4080353,1.061415,.3844259,.7006628,-1.672299,2.48837
"model:mmpl5_s160s",-.9322982,1.178332,-.7912019,.4288262,-3.241786,1.377189
"model:rv1979c_570_indel",2.034979,1.217776,1.671062,.0947093,-.3518173,4.421776
"model:rv3249c_r13q",2.034979,1.220079,1.667908,.095334,-.3563317,4.426291
"model:rv1979c_f172s",.2473413,.8209113,.3013009,.763185,-1.361615,1.856298
"model:mmpl5_l919l",1.004979,1.722211,.5835402,.5595297,-2.370492,4.38045
"model:pepq_l252l",-1.495021,1.528347,-.9781944,.3279782,-4.490527,1.500485
"model:mmpl5_2754_indel",-1.495021,1.247956,-1.197976,.2309264,-3.940969,.9509273
"model:rv0678_r50q",5.064979,1.722211,2.940975,.0032718,1.689508,8.440451
"model:rv0678_g103s",1.534979,1.217643,1.260615,.2074474,-.8515566,3.921515
"model:mmpl5_s782a",.3246402,1.340791,.2421259,.8086826,-2.303262,2.952543
"model:mmps5_y58y",-1.495021,1.528347,-.9781944,.3279782,-4.490527,1.500485
"model:rv3249c_t154a",.2116413,.1439375,1.47037,.1414615,-.0704709,.4937536
"model:rv1979c_v52g",-.9766359,.782095,-1.248743,.211759,-2.509514,.5562422
"model:mmps5_l134l",-.4032297,1.128608,-.3572804,.7208819,-2.615262,1.808802
"model:rv1979c_r481r",-1.495021,1.528347,-.9781944,.3279782,-4.490527,1.500485
"model:mmpl5_l843l",-.789149,.872334,-.9046409,.3656557,-2.498892,.9205943
"model:rv0678_m17v",-1.495021,2.161297,-.6917241,.4891106,-5.731085,2.741043
"model:rv0678_l117r",1.622711,.7706807,2.105555,.035243,.1122042,3.133217
"model:mmpl5_h122r",-.8326278,2.18277,-.3814548,.7028658,-5.110778,3.445522
"model:rv0678_192_indel",1.504308,.4804705,3.130907,.0017427,.5626034,2.446013
"model:rv1979c_a50c",-.828049,.2401481,-3.448077,.0005646,-1.29873,-.3573675
"model:mmpl5_a8a",-.9678411,.364167,-2.657685,.0078679,-1.681595,-.2540869
"model:mmpl5_606_indel",-2.328222,.6756548,-3.445875,.0005692,-3.652482,-1.003963
"model:rv0678_l40v",-1.481052,.5574811,-2.656687,.0078913,-2.573695,-.3884096
"model:mmpl5_a755a",-1.851297,1.157248,-1.59974,.1096562,-4.119462,.4168685
"model:pepq_818_indel",-.007092,.689411,-.0102871,.9917923,-1.358313,1.344129
"model:pepq_f46l",.8473867,.4434605,1.91085,.0560238,-.02178,1.716553
"model:mmpl5_d608n",-.3151296,.4957457,-.6356679,.5249929,-1.286773,.656514
"model:rv0678_r90c",.9346145,.5664434,1.64997,.0989491,-.1755942,2.044823
"model:rv1979c_a222t",-.5320861,.3159713,-1.683969,.0921876,-1.151379,.0872063
