var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:rv0565c_v130v",-.2716396,.2796545,-.9713399,.331379,-.8197523,.2764732
"log2mic:etha_s266r",-.4902789,.0869178,-5.640722,1.69e-08,-.6606345,-.3199232
"log2mic:ethr_r216h",.2733359,.9263129,.2950795,.7679332,-1.542204,2.088876
"log2mic:etha_y386c",.2377783,.6567308,.3620636,.7173045,-1.04939,1.524947
"log2mic:fabg1_t8c",1.754408,.1717355,10.21576,0,1.417813,2.091004
"log2mic:msha_l244l",-.6203473,.1251594,-4.956457,7.18e-07,-.8656553,-.3750393
"log2mic:fabg1_c15t",2.859495,.0487519,58.65397,0,2.763943,2.955047
"log2mic:rv3083_l75r",-.1785108,.4119641,-.4333164,.664785,-.9859455,.628924
"log2mic:rv3083_r49c",.2990264,.9319693,.3208543,.7483208,-1.5276,2.125653
"log2mic:etha_p334a",-.2615871,.167726,-1.559609,.1188522,-.590324,.0671499
"log2mic:rv3083_c298s",-.841479,.7033781,-1.196339,.2315641,-2.220075,.5371169
"log2mic:etha_i161v",.7040204,.4911747,1.43334,.1517607,-.2586644,1.666705
"log2mic:etha_a33g",.1664543,.4245849,.3920402,.6950285,-.6657167,.9986254
"log2mic:rv3083_h99y",-.4618263,.9238593,-.4998882,.6171538,-2.272557,1.348905
"log2mic:msha_i321i",.283057,.6930643,.4084138,.6829699,-1.075324,1.641438
"log2mic:fabg1_l203l",2.771708,.1198044,23.13528,0,2.536896,3.00652
"log2mic:fabg1_h78q",.0381737,.6933929,.0550534,.9560959,-1.320852,1.397199
"log2mic:etha_g30t",.0336953,.8762776,.0384528,.9693267,-1.683777,1.751168
"log2mic:rv3083_d56d",.0728985,.5132141,.1420431,.887046,-.9329826,1.07878
"log2mic:rv3083_g42r",-.216943,.9236127,-.2348852,.8142978,-2.02719,1.593305
"log2mic:msha_g67a",2.783057,.9236127,3.01323,.0025848,.9728094,4.593305
"log2mic:rv3083_t90m",-.216943,.5981877,-.362667,.7168536,-1.389369,.9554835
"log2mic:rv3083_l291r",-.2266641,.6966587,-.3253588,.7449095,-1.59209,1.138762
"log2mic:inha_g3g",-1.07988,.141039,-7.656608,1.91e-14,-1.356312,-.803449
"log2mic:rv0565c_l240s",-.1038335,.4380746,-.2370224,.8126394,-.962444,.754777
"log2mic:rv3083_a402a",-.0807044,.3641878,-.221601,.8246245,-.7944995,.6330907
"log2mic:rv3083_v94i",-.8495404,.4416948,-1.923365,.0544342,-1.715246,.0161655
"log2mic:msha_a187t",.9403502,.5468143,1.719688,.0854891,-.1313861,2.012086
"log2mic:etha_r331r",-.8233211,.4619801,-1.782157,.0747236,-1.728786,.0821433
"log2mic:etha_f48s",1.951148,1.081329,1.804399,.0711688,-.1682167,4.070513
"log2mic:rv3083_m283i",1.038174,.6533952,1.588891,.1120851,-.2424575,2.318805
"log2mic:rv0565c_p5s",.783057,.9236127,.8478197,.3965384,-1.027191,2.593305
"log2mic:msha_a24v",.1137875,.6536105,.1740907,.8617942,-1.167266,1.39484
"log2mic:rv0565c_p213p",-.1426362,.2696485,-.5289708,.5968257,-.6711375,.3858652
"log2mic:msha_a364a",.358927,.657459,.5459305,.5851137,-.9296691,1.647523
"log2mic:rv0565c_a467v",-.1893593,.9159613,-.2067328,.8362185,-1.98461,1.605892
"log2mic:etha_i120v",.5381737,.6943085,.7751219,.4382676,-.822646,1.898993
"log2mic:msha_d124n",-.4553559,.7112043,-.6402603,.5220034,-1.849291,.9385789
"log2mic:ethr_t2a",-3.461826,1.492083,-2.32013,.0203338,-6.386255,-.5373979
"log2mic:rv0565c_1055_indel",1.999998,1.219357,1.640208,.100962,-.3898973,4.389894
"log2mic:etha_1432_indel",1.737778,.8968814,1.937579,.0526746,-.020077,3.495634
"log2mic:rv0565c_1206_indel",1.059573,.1143369,9.267118,0,.835477,1.283669
"log2mic:etha_753_indel",2.198225,.2743909,8.011292,1.11e-15,1.660429,2.736022
"log2mic:ethr_q143k",.7444086,.5530856,1.345919,.1783285,-.3396192,1.828436
"log2mic:etha_342_indel",.9000809,.2935297,3.066404,.0021665,.3247731,1.475389
"log2mic:rv3083_p423l",-.7953832,.5342734,-1.488719,.1365613,-1.84254,.2517736
"log2mic:msha_r413q",.8582172,.5553873,1.545259,.1222836,-.2303219,1.946756
"log2mic:rv3083_t396p",.5,.7862386,.6359393,.524816,-1.040999,2.040999
"log2mic:etha_l462l",-.0664468,.6450844,-.1030049,.9179591,-1.330789,1.197896
"log2mic:etha_p454l",2.140285,.6252811,3.422917,.0006195,.9147568,3.365814
"log2mic:etha_p164l",2.88538,.6621741,4.357434,.0000132,1.587543,4.183218
"log2mic:rv0565c_y71h",-.9618263,.6533952,-1.472044,.1410091,-2.242457,.3188048
"log2mic:rv0565c_n291h",-.4809535,.4753423,-1.011805,.3116315,-1.412607,.4507003
"log2mic:ethr_a174t",1.158521,.7033781,1.647081,.0995413,-.2200748,2.537117
"log2mic:etha_1243_indel",2.052541,.3212401,6.38943,1.67e-10,1.422922,2.68216
"log2mic:etha_113_indel",1.730336,.1955544,8.848362,0,1.347056,2.113615
"log2mic:rv3083_q167",-.1042282,.699182,-.1490716,.8814971,-1.4746,1.266143
