var,coef,stderr,tstat,pval,ci_lower,ci_upper
"model:rrs_a1401g",6.862738,.0876669,78.28201,0,6.690914,7.034562
"model:fpra_e40e",-1.001905,.8479403,-1.181575,.2373745,-2.663837,.6600277
"model:aftb_r114r",-.6082554,.7679854,-.7920144,.4283523,-2.113479,.8969683
"model:ccsa_l47l",-.3936493,.1236998,-3.182296,.0014611,-.6360964,-.1512022
"model:eis_r374r",.2233137,.9146681,.2441473,.8071167,-1.569403,2.01603
"model:eis_v163i",-.0476991,.0854466,-.558233,.5766852,-.2151714,.1197732
"model:whib6_d37g",.0281751,.5821113,.0484016,.9613962,-1.112742,1.169092
"model:fpra_k372k",.4914773,1.829893,.2685826,.7882509,-3.095047,4.078001
"model:rrs_g5t",-1.047665,1.704242,-.6147398,.5387266,-4.387919,2.292588
"model:rrs_a514c",.3839321,.1031856,3.720793,.0001986,.1816921,.5861722
"model:whib6_a54g",-.6053594,.4038078,-1.499128,.1338405,-1.396808,.1860893
"model:whib6_r17g",-.0746845,.531804,-.1404361,.8883154,-1.117001,.9676322
"model:eis_t67a",.3305372,.6775299,.4878563,.6256517,-.997397,1.658471
"model:eis_c100t",-.3626583,.4460206,-.8130977,.416162,-1.236843,.511526
"model:whib6_t16c",.1956803,.4389744,.445767,.6557656,-.6646938,1.056054
"model:rrs_c1001g",1.498095,1.00005,1.49802,.1341281,-.4619673,3.458158
"model:aftb_a295t",-9.83e-17,2.076431,-4.73e-17,1,-4.069731,4.069731
"model:fpra_p115l",-.6082554,1.205037,-.5047607,.6137269,-2.970085,1.753574
"model:whib6_a63v",5.71e-18,2.076431,2.75e-18,1,-4.069731,4.069731
"model:ccsa_d226n",-.9783164,1.346738,-.7264342,.4675727,-3.617874,1.661241
"model:fpra_a174t",1.015389,1.561545,.6502466,.515533,-2.045182,4.075961
"model:rrs_81_indel",-1.001905,1.198998,-.835618,.4033698,-3.351899,1.348089
"model:rrs_255_indel",-1.001905,1.695519,-.5909131,.5545787,-4.325062,2.321252
"model:whib6_d37h",2,2.207727,.9059092,.3649839,-2.327065,6.327065
"model:aftb_i226i",1.598125,.7418583,2.154218,.031223,.1441093,3.05214
"model:aftb_p423p",-.3540334,1.338183,-.2645628,.7913463,-2.976824,2.268757
"model:whib6_r96",-1.295743,1.23149,-1.052175,.2927192,-3.709418,1.117933
"model:whib6_c53g",-.0023872,.3895089,-.0061287,.99511,-.7658105,.7610362
"model:rrs_c1153t",.7824828,.5435873,1.43948,.1500147,-.2829287,1.847894
"model:fpra_v36i",.635357,1.420117,.4473975,.654588,-2.148022,3.418736
"model:whib6_r110r",-1.001905,1.198998,-.835618,.4033698,-3.351899,1.348089
"model:fpra_p188s",.2993928,.6234242,.4802394,.6310572,-.9224961,1.521282
"model:rrs_159_indel",-1.480234,1.554995,-.9519222,.3411364,-4.527968,1.5675
"model:whib6_r54p",.4783294,.9901272,.483099,.6290255,-1.462284,2.418943
"model:whib6_r17r",-.2790442,.3110176,-.8971974,.3696136,-.8886275,.3305391
"model:whib6_a77v",-.8525405,.3489138,-2.443413,.0145491,-1.536399,-.1686819
"model:ccsa_r257r",1.498095,1.00005,1.49802,.1341281,-.4619673,3.458158
"model:ccsa_p61l",.7401218,1.217145,.60808,.5431344,-1.64544,3.125683
"model:whib6_w16r",2.46e-16,2.397656,1.02e-16,1,-4.69932,4.69932
"model:whib6_156_indel",.1654338,.7089687,.2333443,.815494,-1.224119,1.554987
"model:aftb_r303r",-1.001905,1.695519,-.5909131,.5545787,-4.325062,2.321252
"model:ccsa_l212l",.4706203,.8522372,.5522175,.5807993,-1.199734,2.140975
"model:whib6_k50k",-1.001905,1.198998,-.835618,.4033698,-3.351899,1.348089
"model:rrs_c517t",-.205608,.2071158,-.9927201,.3208464,-.6115475,.2003315
"model:whib6_r40c",.6008936,.7484472,.8028536,.4220593,-.866036,2.067823
"model:eis_a86v",-.6082554,.986434,-.6166205,.5374851,-2.541631,1.32512
"model:whib6_199_indel",-.9780552,1.199585,-.8153279,.4148847,-3.329199,1.373088
"model:eis_l140v",-1.001905,1.198998,-.835618,.4033698,-3.351899,1.348089
"model:eis_g188a",-.6082554,.986434,-.6166205,.5374851,-2.541631,1.32512
