var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:atpe_e61d",4.921014,.7910432,6.220916,4.94e-10,3.370598,6.47143
"log2mic:mmpl5_g246s",-.9166573,.2864813,-3.199711,.0013757,-1.47815,-.3551643
"log2mic:mmpl5_v344l",.4422671,.539268,.8201247,.412145,-.6146789,1.499213
"log2mic:mmpl5_p390t",1.105152,.9354266,1.181441,.2374274,-.7282507,2.938554
"log2mic:mmpl5_395_indel",-3.288588,3.203331,-1.026615,.3046018,-9.567002,2.989826
"log2mic:o.mmpl5_g477r",0,0,,,0,0
"log2mic:o.mmpl5_q625q",0,0,,,0,0
"log2mic:o.mmpl5_p632p",0,0,,,0,0
"log2mic:mmpl5_p693p",-.2818825,.9576612,-.2943447,.7684945,-2.158864,1.595099
"log2mic:mmpl5_f696l",-.3021106,.2745436,-1.10041,.2711534,-.8402061,.235985
"log2mic:o.mmpl5_l709i",0,0,,,0,0
"log2mic:o.pepq_g80g",0,0,,,0,0
"log2mic:rv0678_p130p",-.4173671,.9218855,-.4527321,.6507417,-2.22423,1.389495
"log2mic:rv0678_141_indel",1.400227,.6312374,2.218226,.0265394,.1630246,2.63743
"log2mic:o.rv0678_274_indel",0,0,,,0,0
"log2mic:1.lineage",-.1245478,.1203588,-1.034804,.3007603,-.3604467,.1113511
"log2mic:2.lineage",.1819444,.0739861,2.459172,.0139258,.0369344,.3269544
"log2mic:3.lineage",.6978965,.1131455,6.168134,6.91e-10,.4761354,.9196576
"log2mic:4b.lineage",0,0,,,0,0
"log2mic:6o.lineage",0,0,,,0,0
"log2mic:2b.siteid",0,0,,,0,0
"log2mic:3.siteid",-.9307868,.0884395,-10.52456,0,-1.104125,-.7574486
"log2mic:4.siteid",-.7684723,.1083417,-7.093042,1.31e-12,-.9808182,-.5561265
"log2mic:5.siteid",-.2038938,.0978739,-2.083231,.0372302,-.3957231,-.0120646
"log2mic:6.siteid",-.5037416,.1292844,-3.896382,.0000976,-.7571344,-.2503487
"log2mic:8.siteid",-1.145365,.1026921,-11.15339,0,-1.346637,-.9440918
"log2mic:10.siteid",.1440099,.1084933,1.327363,.1843887,-.068633,.3566529
"log2mic:11.siteid",-.7140596,.5300187,-1.347235,.1779047,-1.752877,.3247581
"log2mic:14.siteid",.2670008,.2759305,.967638,.3332252,-.273813,.8078147
"log2mic:20.siteid",.0182437,.234289,.0778683,.9379328,-.4409544,.4774418
"log2mic:1b.dummy1",0,0,,,0,0
"log2mic:1b.rif",0,0,,,0,0
"log2mic:3.rif",-.3195851,.11128,-2.871902,.0040801,-.5376898,-.1014804
"log2mic:1b.inh",0,0,,,0,0
"log2mic:2.inh",-.3519399,.1092643,-3.220996,.0012775,-.566094,-.1377858
"log2mic:3.inh",-.1836501,.0682646,-2.69027,.0071394,-.3174462,-.049854
"log2mic:1b.emb",0,0,,,0,0
"log2mic:2.emb",.0920088,.0773849,1.188977,.2344487,-.0596627,.2436804
"log2mic:3.emb",.3526845,.0835591,4.220777,.0000243,.1889116,.5164574
"log2mic:1b.ami",0,0,,,0,0
"log2mic:3.ami",-.3222668,.2748192,-1.17265,.2409361,-.8609026,.216369
"log2mic:1b.kan",0,0,,,0,0
"log2mic:3.kan",.1277728,.2681424,.4765111,.6337103,-.3977766,.6533223
"log2mic:1b.lev",0,0,,,0,0
"log2mic:3.lev",.2327787,.0864499,2.692643,.0070888,.06334,.4022174
"log2mic:1b.mxf",0,0,,,0,0
"log2mic:3.mxf",-.0465963,.0944032,-.493588,.6215972,-.2316231,.1384306
"log2mic:1b.eth",0,0,,,0,0
"log2mic:2.eth",.065116,.0780567,.8342143,.4041603,-.0878723,.2181043
"log2mic:3.eth",.2701665,.071764,3.764654,.0001668,.1295117,.4108213
"log2mic:1b.rfb",0,0,,,0,0
"log2mic:3.rfb",.1554456,.1003654,1.548796,.1214307,-.041267,.3521582
"log2mic:1b.lzd",0,0,,,0,0
"log2mic:3.lzd",1.466123,.2039758,7.187733,6.59e-13,1.066338,1.865909
"log2mic:1b.dlm",0,0,,,0,0
"log2mic:3.dlm",.419414,.2059219,2.036762,.0416739,.0158144,.8230136
"log2mic:1b.dummy2",0,0,,,0,0
"log2mic:_cons",-5.166846,.0773376,-66.80894,0,-5.318425,-5.015267
"/var(_cons[cluster100])",.297179,.0388186,7.655591,1.93e-14,.2210961,.373262
"/var(e.log2mic)",.475121,.0249911,19.01164,0,.4261394,.5241026
