var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:glpk_l228v__mmpl5_y300",-1.121686,.1956074,-5.73437,9.79e-09,-1.505069,-.7383019
"log2mic:mmpl5_a273g__rv3249c_v83m",2.441935,.6925774,3.525866,.0004221,1.084508,3.799362
"log2mic:mmpl5_p445l",3.485995,1.016127,3.430668,.0006021,1.494422,5.477567
"log2mic:mmpl5_y586",-2.884815,.8860374,-3.255862,.0011305,-4.621417,-1.148214
"log2mic:rv0678_l83p",3.605582,.9231738,3.905638,.000094,1.796195,5.41497
"log2mic:rv0678_r90c",1.808076,.4579243,3.948418,.0000787,.9105613,2.705591
"log2mic:rv0678_l117r",1.885685,.5640774,3.342954,.0008289,.7801136,2.991256
"log2mic:rv0678_274_indel",1.626146,.5871091,2.76975,.0056099,.4754328,2.776858
"log2mic:rv1979c_247_indel",4.60768,1.026743,4.487669,7.20e-06,2.595302,6.620059
"log2mic:rv1979c_r409q",1.396723,.4609598,3.030033,.0024453,.4932587,2.300188
"log2mic:rv3249c_a17a",1.476757,.5082712,2.905451,.0036672,.4805638,2.47295
"log2mic:1.lineage",-.1722363,.0851124,-2.023634,.0430078,-.3390535,-.0054191
"log2mic:2.lineage",.1886043,.050403,3.741925,.0001826,.0898162,.2873924
"log2mic:3.lineage",.1942905,.0670462,2.897859,.0037572,.0628823,.3256987
"log2mic:4b.lineage",0,0,,,0,0
"log2mic:6.lineage",-1.901456,.8512371,-2.233756,.0254991,-3.56985,-.2330619
"log2mic:2b.siteid",0,0,,,0,0
"log2mic:3.siteid",-.7360459,.0633652,-11.61594,0,-.8602394,-.6118524
"log2mic:4.siteid",-.8437104,.0754516,-11.18215,0,-.9915928,-.6958281
"log2mic:5.siteid",-.8940186,.0689079,-12.9741,0,-1.029076,-.7589615
"log2mic:6.siteid",-.2331259,.0675056,-3.453433,.0005535,-.3654344,-.1008174
"log2mic:8.siteid",-.5570669,.0693439,-8.033389,8.88e-16,-.6929786,-.4211553
"log2mic:10.siteid",-.0191819,.0749601,-.2558952,.7980317,-.166101,.1277372
"log2mic:11.siteid",-.0880551,.428,-.2057361,.836997,-.9269196,.7508095
"log2mic:14.siteid",.3086234,.1147041,2.690604,.0071323,.0838074,.5334394
"log2mic:20.siteid",.1001678,.0968099,1.034686,.3008156,-.0895761,.2899117
"log2mic:_cons",-4.256691,.0554279,-76.79685,0,-4.365328,-4.148055
"/var(_cons[cluster100])",.1996883,.0260293,7.671671,1.69e-14,.1486718,.2507048
"/var(e.log2mic)",.7364419,.0222854,33.04592,0,.6927633,.7801205
