var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:rrs_a1401g",6.782665,.0818105,82.90699,0,6.622319,6.94301
"log2mic:fpra_e40e",-.8474723,.7959602,-1.064717,.2870041,-2.407526,.7125812
"log2mic:aftb_r114r",-.6327599,.6753872,-.9368846,.3488179,-1.956494,.6909748
"log2mic:ccsa_l47l",-.5829712,.1151557,-5.062462,4.14e-07,-.8086721,-.3572702
"log2mic:eis_r374r",.3460295,.7030763,.492165,.6226027,-1.031975,1.724034
"log2mic:eis_v163i",-.1023621,.1144699,-.8942267,.3712006,-.326719,.1219949
"log2mic:whib6_d37g",.2825176,.5913968,.4777124,.6328549,-.8765989,1.441634
"log2mic:fpra_k372k",-.0822354,1.680738,-.0489282,.9609765,-3.376421,3.211951
"log2mic:rrs_g5t",-1.133496,1.500794,-.7552639,.4500907,-4.074998,1.808007
"log2mic:rrs_a514c",.0687894,.1126626,.610579,.5414783,-.1520253,.2896041
"log2mic:whib6_a54g",-.2735634,.3454677,-.7918639,.4284401,-.9506676,.4035408
"log2mic:whib6_r17g",.1569327,.4083374,.3843211,.7007405,-.643394,.9572594
"log2mic:eis_t67a",.4508089,.5202349,.8665486,.3861894,-.5688329,1.470451
"log2mic:eis_c100t",-.0123132,.3653412,-.0337034,.9731137,-.7283689,.7037424
"log2mic:whib6_t16c",.2753736,.3711541,.7419388,.4581244,-.452075,1.002822
"log2mic:rrs_c1001g",1.152528,1.033078,1.115625,.2645828,-.8722684,3.177324
"log2mic:aftb_a295t",-4.26e-14,1.839505,-2.32e-14,1,-3.605365,3.605365
"log2mic:fpra_p115l",-.6327599,1.083064,-.5842314,.5590646,-2.755526,1.490006
"log2mic:whib6_a63v",1.51e-14,1.839505,8.20e-15,1,-3.605365,3.605365
"log2mic:ccsa_d226n",-.8520461,1.149306,-.7413573,.4584768,-3.104644,1.400551
"log2mic:fpra_a174t",1.010688,1.318228,.7667019,.4432588,-1.572991,3.594366
"log2mic:rrs_81_indel",-.8474723,1.055509,-.8029037,.4220304,-2.916232,1.221288
"log2mic:rrs_255_indel",-.8474723,1.491747,-.5681073,.5699621,-3.771242,2.076298
"log2mic:whib6_d37h",2,1.812947,1.103176,.2699507,-1.553311,5.553311
"log2mic:aftb_i226i",2.118787,.6501244,3.259048,.0011179,.844566,3.393007
"log2mic:aftb_p423p",-.5914265,1.124097,-.5261349,.5987945,-2.794616,1.611763
"log2mic:whib6_r96",-1.248609,1.024015,-1.219327,.2227202,-3.255642,.7584236
"log2mic:whib6_c53g",.613887,.3168607,1.937403,.0526961,-.0071487,1.234923
"log2mic:rrs_c1153t",.0430117,.5068768,.0848564,.9323756,-.9504486,1.036472
"log2mic:fpra_v36i",.869863,1.518403,.5728801,.5667259,-2.106153,3.845879
"log2mic:whib6_r110r",-.8078595,1.077313,-.7498838,.4533247,-2.919354,1.303635
"log2mic:fpra_p188s",.1833462,.4686999,.3911803,.695664,-.7352888,1.101981
"log2mic:rrs_159_indel",-1.718551,1.330665,-1.291497,.1965313,-4.326607,.8895053
"log2mic:whib6_r54p",.8710784,.7787575,1.118549,.2633326,-.6552582,2.397415
"log2mic:whib6_r17r",.1297083,.2591116,.5005883,.6166609,-.3781413,.6375577
"log2mic:whib6_a77v",.0503653,.4313177,.1167707,.9070418,-.7950019,.8957323
"log2mic:ccsa_r257r",1.652528,.763544,2.164286,.0304424,.156009,3.149046
"log2mic:ccsa_p61l",.4385725,.9261485,.4735445,.6358247,-1.376645,2.25379
"log2mic:whib6_w16r",5.01e-16,2.108278,2.38e-16,1,-4.132149,4.132149
"log2mic:whib6_156_indel",.4989806,.5362417,.9305143,.3521048,-.5520338,1.549995
"log2mic:aftb_r303r",-1.087617,1.49231,-.7288145,.4661151,-4.01249,1.837256
"log2mic:ccsa_l212l",.7160841,.6746591,1.061401,.2885075,-.6062235,2.038392
"log2mic:whib6_k50k",-.8474723,1.079006,-.7854195,.4322076,-2.962285,1.26734
"log2mic:rrs_c517t",-.4832371,.1954812,-2.472039,.0134345,-.8663732,-.100101
"log2mic:whib6_r40c",1.402153,.8743209,1.603706,.1087789,-.3114841,3.115791
"log2mic:eis_a86v",-.6327599,.8674504,-.7294479,.4657277,-2.332932,1.067412
"log2mic:whib6_199_indel",-.6165392,1.049015,-.5877315,.5567125,-2.672571,1.439492
"log2mic:eis_l140v",-1.215731,1.079691,-1.125999,.2601658,-3.331886,.9004241
"log2mic:eis_g188a",-.6327599,.8800174,-.7190311,.4721218,-2.357562,1.092043
"log2mic:whib6_w60",.5408486,.7350557,.7357926,.4618569,-.8998342,1.981531
"log2mic:rrs_t17g",-.1144141,.5355206,-.2136503,.8308198,-1.164015,.9351869
"log2mic:whib6_c44t",-.6327599,1.494685,-.4233401,.6720472,-3.562288,2.296768
"log2mic:rrs_a1449g",.4587138,.624788,.734191,.4628323,-.7658483,1.683276
"log2mic:rrs_a908c",-.548234,.5117142,-1.071368,.2840042,-1.551175,.4547074
"log2mic:whib6_82_indel",-.5912408,.6633086,-.8913511,.3727408,-1.891302,.7088201
"log2mic:whib6_236_indel",-.4255933,.3879797,-1.096948,.2726643,-1.18602,.3348329
"log2mic:rrs_c1141t",-.386349,.6318828,-.6114251,.5409182,-1.624817,.8521186
"log2mic:eis_g10a",1.541117,.1764586,8.733592,0,1.195265,1.886969
"log2mic:whib6_g75a",1.152528,1.033078,1.115625,.2645828,-.8722684,3.177324
"log2mic:fpra_q405",.6727216,.830337,.810179,.4178373,-.9547091,2.300152
"log2mic:whib7_c20c",-.6040056,1.081092,-.5586996,.5763667,-2.722907,1.514896
"log2mic:aftb_d398d",-.6327599,1.494685,-.4233401,.6720472,-3.562288,2.296768
"log2mic:whib6_s97p",.124692,.4769552,.2614334,.7937583,-.8101231,1.059507
"log2mic:eis_t66g",-.8474723,1.055509,-.8029037,.4220304,-2.916232,1.221288
"log2mic:fpra_v194v",-.0365269,.8896259,-.0410587,.9672491,-1.780162,1.707108
