var,coef,stderr,tstat,pval,ci_lower,ci_upper
"model:etha_s266r",-.6829805,.0703408,-9.709594,0,-.820846,-.5451151
"model:ethr_r216h",.4718472,1.078895,.4373429,.6618627,-1.642749,2.586443
"model:etha_y386c",.0348615,.7838144,.0444767,.9645244,-1.501387,1.57111
"model:fabg1_t8c",1.936986,.1813059,10.68352,0,1.581633,2.292339
"model:msha_l244l",-.3964002,.0939815,-4.217855,.0000247,-.5806004,-.2121999
"model:fabg1_c15t",2.799602,.0465284,60.16978,0,2.708408,2.890796
"model:rv3083_l75r",.256141,.4141416,.6184866,.5362546,-.5555617,1.067844
"model:rv3083_r49c",.3856652,1.081631,.356559,.721422,-1.734292,2.505623
"model:etha_p334a",-.1870151,.1660345,-1.126363,.2600119,-.5124368,.1384065
"model:rv3083_c298s",-.8147331,.7670021,-1.062231,.288131,-2.31803,.6885635
"model:etha_i161v",.7273964,.4028499,1.805627,.0709767,-.0621749,1.516968
"model:etha_a33g",.4554518,.4395863,1.036092,.3001592,-.4061215,1.317025
"model:rv3083_h99y",-.2111333,1.076746,-.1960846,.8445439,-2.321516,1.89925
"model:msha_i321i",.1222817,.6215262,.1967443,.8440277,-1.095887,1.340451
"model:fabg1_l203l",2.674739,.1232908,21.69456,0,2.433093,2.916384
"model:fabg1_h78q",.2888667,.7611169,.37953,.7042943,-1.202895,1.780629
"model:etha_g30t",.7888668,.7602028,1.037706,.2994071,-.7011033,2.278837
"model:rv3083_d56d",.2717417,.4863434,.5587444,.5763362,-.681474,1.224957
"model:rv3083_g42r",-.2111333,1.076746,-.1960846,.8445439,-2.321516,1.89925
"model:msha_g67a",2.788867,1.076746,2.590088,.0095951,.6784838,4.89925
"model:rv3083_t90m",-.2111333,.5384964,-.3920792,.6949997,-1.266567,.8443004
"model:rv3083_l291r",-.0281528,.7641549,-.0368417,.9706112,-1.525869,1.469563
"model:rv3083_a402a",.316528,.4173115,.7584934,.4481557,-.5013875,1.134444
"model:rv3083_v94i",-.7926689,.5125538,-1.546509,.1219817,-1.797256,.211918
"model:msha_a187t",.6066671,.5606446,1.082088,.2792132,-.4921762,1.70551
"model:etha_r331r",-.8110803,.4814913,-1.684517,.0920818,-1.754786,.1326254
"model:etha_l35r",3.562871,.3840091,9.278092,0,2.810227,4.315516
"model:etha_f48s",1.989265,1.063543,1.870413,.0614265,-.0952418,4.073772
"model:rv3083_m283i",1.288867,.7611169,1.693389,.0903815,-.202895,2.780628
"model:msha_a24v",.130357,.7619935,.1710736,.8641658,-1.363123,1.623837
"model:msha_a364a",.4718472,.6254697,.7543886,.4506159,-.754051,1.697745
"model:etha_i120v",.7888668,.7614325,1.03603,.3001882,-.7035135,2.281247
"model:msha_d124n",-.5241181,.7788024,-.6729796,.5009603,-2.050543,1.002307
"model:ethr_t2a",-3.211133,1.502779,-2.136797,.0326145,-6.156525,-.2657414
"model:etha_1432_indel",2.767589,.6765084,4.09099,.000043,1.441657,4.093521
"model:etha_753_indel",1.843146,.2924135,6.303219,2.92e-10,1.270026,2.416266
"model:ethr_q143k",.5968915,.6208579,.9613979,.3363521,-.6199677,1.813751
"model:etha_q347",2.788867,1.076746,2.590088,.0095951,.6784838,4.89925
"model:etha_342_indel",.5030091,.3268466,1.538976,.1238101,-.1375984,1.143617
"model:rv3083_p423l",-.5445483,.6215262,-.876147,.3809502,-1.762717,.6736207
"model:msha_r413q",1.122282,.6215262,1.805687,.0709673,-.0958873,2.340451
"model:rv3083_t396p",.5,.9321602,.5363885,.5916901,-1.327,2.327
"model:etha_l462l",-.2111333,.7614325,-.2772843,.7815618,-1.703514,1.281247
"model:etha_p454l",2.326406,.6715269,3.464353,.0005315,1.010238,3.642575
"model:etha_p164l",2.933933,.8078432,3.631809,.0002814,1.350589,4.517276
"model:msha_a342a",-1.254709,.8358805,-1.501063,.1333392,-2.893005,.3835863
"model:ethr_a174t",1.185267,.7670021,1.545324,.1222679,-.3180297,2.688563
"model:etha_1243_indel",1.923189,.3004268,6.401524,1.54e-10,1.334364,2.512015
"model:etha_113_indel",1.568609,.2107569,7.442742,9.86e-14,1.155533,1.981685
"model:rv3083_q167",-.5281528,.7644691,-.6908752,.489644,-2.026485,.9701793
"model:etha_316_indel",-.349947,.6365246,-.5497777,.5824718,-1.597512,.8976182
"model:rv3083_s213a",.1762802,1.090222,.161692,.8715484,-1.960516,2.313076
"model:fabg1_v217v",.4991573,.3808285,1.310714,.1899544,-.2472529,1.245568
"model:etha_l23r",2.084071,1.730417,1.204375,.2284447,-1.307484,5.475625
"model:etha_1466_indel",.9240315,.8491617,1.088169,.2765205,-.7402949,2.588358
"model:fabg1_g17t",1.780765,.1230204,14.47536,0,1.539649,2.02188
"model:etha_q254p",1.686901,.4401275,3.832756,.0001267,.8242671,2.549535
"model:etha_t387t",-.2111333,1.076746,-.1960846,.8445439,-2.321516,1.89925
"model:msha_a337t",1.788867,1.076746,1.661364,.0966403,-.3215162,3.89925
"model:ethr_e156a",.4718472,.7644691,.6172221,.5370883,-1.026485,1.970179
"model:rv3083_r446h",-.1198716,.7918096,-.1513895,.8796685,-1.67179,1.432047
"model:fabg1_t8a",1.839149,.327145,5.621817,1.89e-08,1.197957,2.480342
"model:etha_1055_indel",2.218839,.3640472,6.094923,1.09e-09,1.50532,2.932359
"model:etha_1308_indel",1.593729,.5232147,3.046033,.0023188,.5682471,2.619211
"model:ethr_s186l",-.2111333,1.076746,-.1960846,.8445439,-2.321516,1.89925
"model:fabg1_g54e",-.2111333,1.076746,-.1960846,.8445439,-2.321516,1.89925
"model:rv3083_y443y",-.094025,.7658915,-.1227654,.9022928,-1.595145,1.407095
"model:msha_s304s",-.5241181,.7788024,-.6729796,.5009603,-2.050543,1.002307
"model:etha_r207s",2.223865,.7647421,2.907993,.0036376,.7249975,3.722732
"model:etha_y211c",2.381354,.789417,3.016598,.0025563,.834125,3.928583
"model:etha_s55p",3.193371,1.063629,3.002337,.0026792,1.108697,5.278045
"model:msha_p33s",.2888667,.7611169,.37953,.7042943,-1.202895,1.780629
"model:etha_q165p",1.217477,.4069933,2.991392,.0027771,.4197844,2.015169
"model:etha_l190p",1.310666,.6725696,1.948744,.0513261,-.0075466,2.628878
"model:etha_367_indel",3.573411,.4878558,7.324728,2.39e-13,2.617231,4.529591
"model:etha_c137r",2.213877,.4341698,5.099103,3.41e-07,1.36292,3.064834
"model:etha_584_indel",2.788867,1.076746,2.590088,.0095951,.6784838,4.89925
"model:etha_p378l",.7657835,.1674776,4.572453,4.82e-06,.4375334,1.094034
"model:rv3083_934_indel",.9279546,.2194367,4.228803,.0000235,.4978665,1.358043
"model:etha_t453i",-.9395186,.1361306,-6.901596,5.14e-12,-1.20633,-.6727074
"model:msha_l164l",-.2408309,.2392209,-1.00673,.3140643,-.7096952,.2280334
"model:etha_y250",1.445857,.4571027,3.163089,.001561,.5499517,2.341761
"model:etha_g423r",-.370192,.2118936,-1.747066,.080626,-.7854958,.0451118
"model:etha_631_indel",-.2111333,.7614325,-.2772843,.7815618,-1.703514,1.281247
"model:etha_y32d",1.608004,.2699215,5.957303,2.56e-09,1.078968,2.137041
"model:etha_d56a",1.456165,.6208709,2.345358,.0190088,.2392799,2.673049
"model:etha_758_indel",2.434406,.4920837,4.947138,7.53e-07,1.46994,3.398872
"model:etha_t392a",-.2111333,.7602028,-.2777328,.7812175,-1.701103,1.278837
"model:etha_t365m",-.2111333,.6210847,-.3399428,.7338996,-1.428437,1.00617
"model:etha_f431l",.4554518,.6215262,.7327958,.463683,-.7627172,1.673621
"model:etha_m59t",-.5438354,.6208709,-.8759234,.3810717,-1.76072,.6730493
"model:rv3083_l35l",.2651574,.0713663,3.715441,.0002028,.125282,.4050328
