var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:ahpc_g48a",1.970835,.295275,6.674575,2.48e-11,1.392107,2.549563
"log2mic:fabg1_t8c",1.680683,.2553662,6.581464,4.66e-11,1.180175,2.181192
"log2mic:katg_s315t",6.161435,.0457532,134.6667,0,6.07176,6.251109
"log2mic:fabg1_c15t",2.934353,.0747687,39.24573,0,2.787809,3.080897
"log2mic:katg_t654t",-.3117541,1.107152,-.2815819,.7782641,-2.481733,1.858225
"log2mic:rv1258c_g346d",-.1241215,.9012759,-.1377176,.8904636,-1.89059,1.642347
"log2mic:rv2752c_m31i",.7467198,.1762379,4.236999,.0000227,.4012998,1.09214
"log2mic:katg_r146g",2.713863,.7427009,3.654045,.0002581,1.258196,4.16953
"log2mic:katg_a9c",1.551013,1.391768,1.114419,.2650996,-1.176803,4.278829
"log2mic:rv1258c_p8l",.9293447,.8665116,1.072513,.2834899,-.7689869,2.627676
"log2mic:rv2752c_s439s",.6225983,1.390112,.4478764,.6542425,-2.101971,3.347168
"log2mic:katg_t344t",1.07209,.6658962,1.609996,.1073987,-.2330423,2.377223
"log2mic:ahpc_c54t",7.707366,.7543692,10.21697,0,6.228829,9.185903
"log2mic:fabg1_l203l",2.262192,.1795873,12.59661,0,1.910207,2.614176
"log2mic:katg_v697l",3.381921,2.016776,1.676895,.093563,-.5708866,7.334729
"log2mic:fabg1_h78q",-.1241215,1.113427,-.111477,.9112381,-2.306399,2.058156
"log2mic:rv1258c_i283v",.6568993,.8076565,.8133399,.4160232,-.9260784,2.239877
"log2mic:katg_s315n",5.192885,.2405761,21.58521,0,4.721364,5.664405
"log2mic:rv2752c_l355l",.2893327,.3097247,.9341609,.3502209,-.3177166,.896382
"log2mic:katg_l587p",.7097268,.8121074,.8739322,.3821552,-.8819746,2.301428
"log2mic:rv2752c_r465w",-1.139691,.6984192,-1.631816,.1027183,-2.508568,.2291852
"log2mic:katg_t394a",-.1541778,.9797434,-.1573655,.8749568,-2.07444,1.766084
"log2mic:inha_g3g",-.8519492,.2709707,-3.144064,.0016662,-1.383042,-.3208564
"log2mic:ahpc_c72t",5.579145,.5235835,10.65569,0,4.552941,6.60535
"log2mic:rv1258c_g63g",.6225983,1.390112,.4478764,.6542425,-2.101971,3.347168
"log2mic:katg_w191g",.6386967,.5691543,1.122185,.2617836,-.4768252,1.754219
"log2mic:ahpc_c57t",5.870921,.6892661,8.517641,0,4.519984,7.221858
"log2mic:rv1258c_l222l",-.5465116,1.391256,-.392819,.6944532,-3.273323,2.180299
"log2mic:ndh_d288d",-.6322663,1.131307,-.5588812,.5762428,-2.849588,1.585055
"log2mic:rv2752c_t160t",-1.318181,1.111445,-1.186006,.2356199,-3.496573,.860212
"log2mic:katg_i317v",.3113993,.5616065,.5544795,.5792508,-.7893292,1.412128
"log2mic:katg_372_indel",5.660815,.6889139,8.217013,2.22e-16,4.310568,7.011061
"log2mic:katg_n138n",8.887841,3.421856,2.597374,.009394,2.181126,15.59456
"log2mic:ahpc_g51a",2.851704,.5210909,5.472565,4.44e-08,1.830384,3.873023
"log2mic:katg_r425g",3.196512,4.258929,.7505435,.4529274,-5.150836,11.54386
"log2mic:katg_g285v",3.777737,1.506126,2.508248,.0121332,.8257845,6.72969
"log2mic:ndh_t440t",-.3898938,1.161488,-.3356848,.7371085,-2.666368,1.88658
