var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:o.aftb_i226i",0,0,,,0,0
"log2mic:o.aftb_v320m",0,0,,,0,0
"log2mic:aftb_k522r",.7317472,.7427121,.9852366,.3245078,-.7239419,2.187436
"log2mic:ccsa_l47l",-.7940678,.3265069,-2.432009,.0150153,-1.43401,-.154126
"log2mic:eis_g37t",2.229335,.6787038,3.284695,.0010209,.8991002,3.559571
"log2mic:eis_c14t",2.207674,.4369405,5.052574,4.36e-07,1.351286,3.064061
"log2mic:eis_g10a",2.058897,.4212468,4.887626,1.02e-06,1.233268,2.884525
"log2mic:eis_c8a",-.4357455,.9707349,-.4488821,.6535167,-2.338351,1.46686
"log2mic:whib6_c53r",4.080275,1.257327,3.245197,.0011737,1.615958,6.54459
"log2mic:whib6_a55d",-1.206481,2.601222,-.4638132,.6427816,-6.304783,3.891821
"log2mic:whib6_l95r",1.015661,1.24982,.8126457,.4164212,-1.433941,3.465262
"log2mic:whib7_t100c",-.512131,.5656792,-.9053383,.3652862,-1.620842,.5965798
"log2mic:1.lineage",-1.264539,.2417392,-5.231005,1.69e-07,-1.738339,-.7907388
"log2mic:2.lineage",-.6334918,.1478312,-4.285239,.0000183,-.9232355,-.3437481
"log2mic:3.lineage",-.3533708,.2362637,-1.495663,.1347415,-.8164391,.1096975
"log2mic:4b.lineage",0,0,,,0,0
"log2mic:6o.lineage",0,0,,,0,0
"log2mic:2b.siteid",0,0,,,0,0
"log2mic:3.siteid",-.8202922,.1938285,-4.232051,.0000232,-1.200189,-.4403953
"log2mic:4.siteid",-.1689785,.2121528,-.7964942,.4257448,-.5847903,.2468334
"log2mic:5.siteid",-.2871336,.1973244,-1.455135,.1456319,-.6738822,.0996151
"log2mic:6.siteid",.0800647,.2639489,.3033339,.7616354,-.4372658,.5973951
"log2mic:8.siteid",.2513633,.1940259,1.295514,.1951429,-.1289204,.631647
"log2mic:10.siteid",-.1112442,.2095855,-.5307818,.59557,-.5220243,.2995359
"log2mic:11.siteid",-.2894541,.8973769,-.3225558,.7470317,-2.04828,1.469372
"log2mic:14.siteid",1.46648,.4422583,3.315891,.0009135,.5996698,2.333291
"log2mic:20.siteid",.3395055,.4816589,.7048672,.4808929,-.6045285,1.28354
"log2mic:1b.dummy1",0,0,,,0,0
"log2mic:1b.rif",0,0,,,0,0
"log2mic:3.rif",.3313968,.2762202,1.199756,.2302342,-.2099849,.8727785
"log2mic:1b.inh",0,0,,,0,0
"log2mic:2.inh",-.3618691,.2341677,-1.545342,.1222637,-.8208295,.0970912
"log2mic:3.inh",.2286271,.1478192,1.546667,.1219435,-.0610932,.5183474
"log2mic:1b.emb",0,0,,,0,0
"log2mic:2.emb",.2192215,.1775856,1.234455,.2170333,-.12884,.567283
"log2mic:3.emb",.4150044,.1891315,2.194264,.0282164,.0443135,.7856953
"log2mic:1b.lev",0,0,,,0,0
"log2mic:3.lev",.0939014,.2002572,.4689043,.6391381,-.2985954,.4863982
"log2mic:1b.mxf",0,0,,,0,0
"log2mic:3.mxf",.5565508,.2164282,2.571526,.0101251,.1323592,.9807423
"log2mic:1b.eth",0,0,,,0,0
"log2mic:2.eth",.0934967,.1818734,.5140755,.6071992,-.2629686,.4499619
"log2mic:3.eth",.6607943,.1561751,4.231112,.0000233,.3546968,.9668919
"log2mic:1b.rfb",0,0,,,0,0
"log2mic:3.rfb",-.7003962,.2502746,-2.798511,.0051339,-1.190925,-.209867
"log2mic:1b.lzd",0,0,,,0,0
"log2mic:3.lzd",1.610647,.4458695,3.612374,.0003034,.7367591,2.484535
"log2mic:1b.bdq",0,0,,,0,0
"log2mic:3.bdq",-.6023273,.8982325,-.6705695,.5024948,-2.362831,1.158176
"log2mic:1b.dlm",0,0,,,0,0
"log2mic:3.dlm",1.312682,.4061737,3.231823,.00123,.5165958,2.108767
"log2mic:1b.cfz",0,0,,,0,0
"log2mic:3.cfz",.2827968,.8012254,.3529553,.7241219,-1.287576,1.85317
"log2mic:1b.dummy2",0,0,,,0,0
"log2mic:_cons",-2.879841,.1757254,-16.3883,0,-3.224256,-2.535425
"/var(_cons[cluster100])",.3108724,.0834609,3.724765,.0001955,.147292,.4744529
"/var(e.log2mic)",1.335075,.0949206,14.06518,0,1.149034,1.521116
