var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:o.aftb_v320m",0,0,,,0,0
"log2mic:eis_g37t",2.472334,.4298036,5.752243,8.81e-09,1.629935,3.314734
"log2mic:eis_c15g",.7238475,.5757242,1.257282,.2086516,-.4045512,1.852246
"log2mic:eis_c14t",2.591266,.243886,10.62491,0,2.113259,3.069274
"log2mic:eis_c12t",1.133774,.2191458,5.173603,2.30e-07,.7042556,1.563292
"log2mic:eis_g10a",2.309896,.2314767,9.978956,0,1.85621,2.763582
"log2mic:eis_g10c",2.038102,.4051419,5.030588,4.89e-07,1.244038,2.832165
"log2mic:eis_g6t",2.393794,.7932895,3.017554,.0025482,.838975,3.948613
"log2mic:eis_v1v",-3.347307,1.628262,-2.055754,.0398062,-6.538643,-.1559712
"log2mic:eis_l331r",2.380028,.8799796,2.70464,.0068378,.6552995,4.104756
"log2mic:o.eis_448_indel",0,0,,,0,0
"log2mic:eis_807_indel",-1.125767,.3520709,-3.197557,.001386,-1.815813,-.4357206
"log2mic:rrs_c492t",.3305665,.1219066,2.711637,.0066952,.0916339,.569499
"log2mic:rrs_a514c",-.127609,.1732012,-.7367676,.4612637,-.4670771,.2118591
"log2mic:rrs_c517t",.2707923,.2292934,1.180986,.2376083,-.1786145,.7201991
"log2mic:rrs_a1401g",4.441215,.118179,37.58042,0,4.209588,4.672841
"log2mic:rrs_c1402t",2.436049,.809482,3.009393,.0026177,.8494938,4.022605
"log2mic:o.rrs_g1484t",0,0,,,0,0
"log2mic:o.rrs_c1489t",0,0,,,0,0
"log2mic:rrs_g1523a",-1.510682,1.615167,-.9353101,.3496285,-4.676352,1.654987
"log2mic:whib7_t100c",-1.145296,.2991321,-3.828729,.0001288,-1.731584,-.5590076
"log2mic:whib7_a80c",1.128752,.7972137,1.415872,.156813,-.4337577,2.691262
"log2mic:1.lineage",-.7293227,.108525,-6.720318,1.81e-11,-.9420278,-.5166175
"log2mic:2.lineage",-.4298572,.0614173,-6.998959,2.58e-12,-.5502329,-.3094815
"log2mic:3.lineage",-.2521551,.1062328,-2.373608,.0176152,-.4603676,-.0439426
"log2mic:4b.lineage",0,0,,,0,0
"log2mic:6o.lineage",0,0,,,0,0
"log2mic:2b.siteid",0,0,,,0,0
"log2mic:3.siteid",-.2999826,.0798935,-3.754781,.0001735,-.456571,-.1433942
"log2mic:4.siteid",-.2770763,.0959089,-2.888952,.0038653,-.4650543,-.0890982
"log2mic:5.siteid",.0382978,.0823977,.4647925,.6420801,-.1231987,.1997944
"log2mic:6.siteid",-.034496,.1257611,-.2742978,.7838558,-.2809832,.2119913
"log2mic:8.siteid",-.0357238,.0916976,-.3895832,.6968448,-.2154477,.1440001
"log2mic:10.siteid",.2617581,.0905435,2.890964,.0038406,.084296,.4392201
"log2mic:11.siteid",-.4967811,.5380333,-.9233279,.3558364,-1.551307,.5577448
"log2mic:14.siteid",-.0447149,.2577086,-.1735096,.8622509,-.5498145,.4603846
"log2mic:20.siteid",.624016,.1920548,3.249155,.0011575,.2475954,1.000437
"log2mic:1b.dummy1",0,0,,,0,0
"log2mic:1b.rif",0,0,,,0,0
"log2mic:3.rif",.4725371,.1209913,3.905546,.000094,.2353985,.7096757
"log2mic:1b.inh",0,0,,,0,0
"log2mic:2.inh",-.2094573,.1097519,-1.908462,.0563316,-.424567,.0056525
"log2mic:3.inh",-.1876091,.0696806,-2.692415,.0070937,-.3241806,-.0510376
"log2mic:1b.emb",0,0,,,0,0
"log2mic:2.emb",.1704261,.0828309,2.057519,.0396364,.0080805,.3327717
"log2mic:3.emb",.2203773,.0881776,2.499242,.0124459,.0475523,.3932022
"log2mic:1b.lev",0,0,,,0,0
"log2mic:3.lev",.208625,.0944671,2.208441,.0272136,.0234729,.3937772
"log2mic:1b.mxf",0,0,,,0,0
"log2mic:3.mxf",.3763964,.1056541,3.562536,.0003673,.1693182,.5834745
"log2mic:1b.eth",0,0,,,0,0
"log2mic:2.eth",.1827552,.0832856,2.194319,.0282125,.0195184,.3459919
"log2mic:3.eth",.2496364,.0766358,3.257436,.0011242,.0994329,.3998398
"log2mic:1b.rfb",0,0,,,0,0
"log2mic:3.rfb",-.6284823,.1091906,-5.755829,8.62e-09,-.842492,-.4144727
"log2mic:1b.lzd",0,0,,,0,0
"log2mic:3.lzd",.6364378,.2699203,2.357873,.01838,.1074037,1.165472
"log2mic:1b.bdq",0,0,,,0,0
"log2mic:3.bdq",.7014785,.4013816,1.74766,.0805229,-.0852149,1.488172
"log2mic:1b.dlm",0,0,,,0,0
"log2mic:3.dlm",.2194937,.2333413,.9406553,.3468815,-.2378468,.6768343
"log2mic:1b.cfz",0,0,,,0,0
"log2mic:3.cfz",-.3150373,.4184054,-.7529476,.4514814,-1.135097,.5050222
"log2mic:1b.dummy2",0,0,,,0,0
"log2mic:_cons",.3410268,.0690657,4.937714,7.90e-07,.2056604,.4763931
"/var(_cons[cluster100])",.0427749,.0164372,2.602319,.0092596,.0105585,.0749912
"/var(e.log2mic)",.5138088,.026737,19.21712,0,.4614052,.5662125
