var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:rplc_v185i",-.5654156,.2771206,-2.040323,.0413181,-1.108562,-.0222692
"log2mic:rv3249c_e185e",-.4859267,.9716908,-.5000837,.6170161,-2.390406,1.418552
"log2mic:rv3249c_v210v",.7672623,.8838893,.8680525,.3853656,-.9651289,2.499653
"log2mic:rrl_3047_indel",.0392911,.4572774,.0859239,.9315269,-.8569561,.9355382
"log2mic:rrl_c344t",.5634352,.0788351,7.147012,8.87e-13,.4089213,.7179491
"log2mic:rplc_t27t",-.2131021,.3474816,-.613276,.5396938,-.8941535,.4679493
"log2mic:rrl_c2921a",.0845994,.6363933,.1329357,.8942443,-1.162709,1.331907
"log2mic:rv3249c_r13q",.7313553,.6350769,1.151601,.249485,-.5133727,1.976083
"log2mic:rplc_t71t",-.3405733,.4261058,-.7992693,.4241343,-1.175725,.4945787
"log2mic:rrl_t303c",-.9454006,.9054759,-1.044093,.2964426,-2.720101,.8292995
"log2mic:rrl_a2317g",.0845994,.8988502,.0941196,.9250142,-1.677115,1.846313
"log2mic:rrl_a2297g",.3070261,.6305713,.4869015,.6263282,-.928871,1.542923
"log2mic:rrl_c2964a",-1.076291,.631668,-1.703887,.0884022,-2.314337,.1617558
"log2mic:rrl_g19a",.2313553,.6359418,.3637995,.7160078,-1.015068,1.477778
"log2mic:rv3249c_t154a",.036811,.110503,.3331226,.7390417,-.1797708,.2533929
"log2mic:rrl_c276t",.0892593,.6511769,.1370739,.8909724,-1.187024,1.365543
"log2mic:rplc_t67t",-.0317963,.1746996,-.1820054,.8555785,-.3742011,.3106086
"log2mic:rrl_c637g",.4794914,.1694967,2.828913,.0046706,.147284,.8116989
"log2mic:rplc_t115a",.1467741,.3822758,.3839483,.7010168,-.6024727,.8960209
"log2mic:rrl_a21g",-.4573255,.2475101,-1.847704,.0646452,-.9424364,.0277855
"log2mic:rrl_c2064t",.5641595,.5183461,1.088384,.2764257,-.4517803,1.580099
"log2mic:rrl_c807t",.2424861,.348944,.6949142,.4871091,-.4414316,.9264038
"log2mic:rrl_c211t",.0553505,.3627556,.1525833,.8787269,-.6556374,.7663384
"log2mic:rrl_596_indel",.30301,.8984515,.3372581,.7359223,-1.457923,2.063943
"log2mic:rrl_1570_indel",-.0289509,.4729412,-.0612145,.9511884,-.9558987,.897997
"log2mic:rrl_c1847a",.309736,.4729664,.6548795,.5125453,-.6172611,1.236733
"log2mic:rrl_c1264t",-.1245231,.3096706,-.4021145,.6875998,-.7314664,.4824202
"log2mic:rv3249c_l131l",-1.734626,.8676697,-1.999178,.0455891,-3.435227,-.0340245
"log2mic:rplc_l86l",-.0370301,.5862486,-.0631645,.9496355,-1.186056,1.111996
"log2mic:rrl_c1253t",.3348063,.6982276,.4795088,.6315767,-1.033695,1.703307
"log2mic:rrl_g982a",-.4461596,.3382992,-1.318831,.1872255,-1.109214,.2168946
"log2mic:rrl_g2399a",-.458634,.247472,-1.853277,.0638427,-.9436702,.0264021
"log2mic:rv3249c_r204r",.1011,.2348739,.4304437,.6668729,-.3592444,.5614444
"log2mic:rrl_g1052t",.3928718,.235936,1.665163,.0958803,-.0695542,.8552977
"log2mic:rrl_t1859c",1.739353,.633639,2.745022,.0060507,.4974433,2.981263
"log2mic:rv3249c_a165v",-.1135675,.3008113,-.3775373,.7057744,-.7031467,.4760118
"log2mic:rrl_a1075g",-.3129857,.3044256,-1.028119,.3038939,-.909649,.2836775
"log2mic:rrl_c1627g",-.2428483,.8726799,-.2782787,.7807984,-1.95327,1.467573
"log2mic:rplc_d18n",-.6921504,.5881227,-1.176881,.239243,-1.84485,.4605489
"log2mic:rrl_t3017c",.1105623,.5635399,.1961925,.8444595,-.9939556,1.21508
"log2mic:rv3249c_t136i",-.8659579,.6865746,-1.261273,.2072105,-2.211619,.4797036
"log2mic:rplc_r214q",.1640421,.901783,.1819086,.8556545,-1.60342,1.931504
"log2mic:rrl_a2123g",.7417626,.6355287,1.167158,.2431465,-.5038508,1.987376
"log2mic:rv3249c_v83m",1.685522,.5867307,2.872735,.0040693,.535551,2.835493
"log2mic:rv3249c_s89",.7373872,.2332853,3.160882,.0015729,.2801565,1.194618
