var,coef,stderr,tstat,pval,ci_lower,ci_upper
"model:embb_m306i",1.850595,.0503407,36.76139,0,1.751929,1.949261
"model:embc_v974l",.3294147,.444795,.740599,.4589366,-.5423675,1.201197
"model:emba_44_indel",2.583083,.5345069,4.832647,1.35e-06,1.535469,3.630698
"model:embb_q497r",2.295152,.0999227,22.96926,0,2.099307,2.490997
"model:manb_i279i",.5688084,.8626825,.6593485,.509672,-1.122018,2.259635
"model:emba_a253a",-.0703061,.3822418,-.1839311,.8540675,-.8194863,.678874
"model:inia_g178g",-.0634381,.0818808,-.7747614,.4384806,-.2239216,.0970454
"model:embb_d534d",-.2339822,.0718813,-3.255118,.0011335,-.374867,-.0930974
"model:embb_g406d",1.379948,.1616307,8.537657,0,1.063157,1.696738
"model:embc_g825g",5.568809,2.732414,2.038054,.0415445,.2133749,10.92424
"model:embr_t94c",-.4311916,.8620484,-.5001941,.6169384,-2.120775,1.258392
"model:inia_p126p",.0374236,.3107131,.1204442,.9041313,-.5715628,.64641
"model:inic_p22p",.4789245,.4821497,.9933108,.3205585,-.4660716,1.423921
"model:manb_d124n",-.2474202,.9515593,-.2600155,.7948518,-2.112442,1.617602
"model:ubia_a94a",1.239394,1.298261,.954657,.3397512,-1.305151,3.783938
"model:emba_p633p",-.1574898,.3764516,-.4183533,.6756889,-.8953214,.5803419
"model:emba_c11a",1.4505,.1840417,7.881366,3.33e-15,1.089785,1.811215
"model:embb_m306v",2.409252,.053662,44.89679,0,2.304077,2.514428
"model:embr_a127v",5.568809,2.732414,2.038054,.0415445,.2133749,10.92424
"model:embc_d793d",.2609536,.3864895,.6751893,.4995555,-.4965519,1.018459
"model:embc_a767a",-.2877213,.6257622,-.4597933,.6456646,-1.514193,.9387502
"model:manb_l88l",-.5736646,.5598441,-1.024686,.3055112,-1.670939,.5236096
"model:emba_d176e",-.0618071,.2578372,-.2397137,.8105522,-.5671588,.4435446
"model:embb_g406a",1.453666,.1279089,11.36486,0,1.202969,1.704363
"model:embb_i563l",.1232197,.2758873,.4466306,.6551418,-.4175094,.6639488
"model:inia_r603l",.0691727,.6098192,.1134314,.9096885,-1.126051,1.264396
"model:emba_r380l",1.546741,.9728056,1.589979,.1118395,-.3599234,3.453405
"model:embr_t50c",-1.271922,.9615402,-1.322796,.1859031,-3.156506,.6126624
"model:embb_g246r",.3168639,.4300717,.73677,.4612623,-.5260611,1.159789
"model:inic_88_indel",.1063708,.9965149,.1067428,.914993,-1.846763,2.059504
"model:manb_v178v",.3645736,.157529,2.314327,.0206498,.0558225,.6733246
"model:inic_h86r",-.4311916,.8626825,-.4998265,.6171973,-2.122018,1.259635
"model:embb_a679t",-.9346333,.4983587,-1.875423,.0607345,-1.911398,.0421318
"model:emba_e951d",-.8106668,.1545085,-5.246747,1.55e-07,-1.113498,-.5078357
"model:embb_f330s",-.0817884,.8564755,-.0954941,.9239224,-1.76045,1.596873
