var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:mmpl5_a273g",2.069579,.9363192,2.210335,.027082,.2344267,3.904731
"log2mic:mmpl5_y300",-.8485692,.4001455,-2.120651,.0339512,-1.63284,-.0642983
"log2mic:mmpl5_p445l",1.822781,1.095571,1.663772,.0961579,-.324499,3.97006
"log2mic:o.rv0678_l83p",0,0,,,0,0
"log2mic:rv0678_r90c",1.771982,.9126336,1.941614,.0521838,-.0167467,3.560711
"log2mic:rv0678_l117r",3.041908,.9328985,3.260706,.0011114,1.213461,4.870356
"log2mic:o.rv0678_274_indel",0,0,,,0,0
"log2mic:o.rv0678_418_indel",0,0,,,0,0
"log2mic:rv1979c_l14l",-2.387438,2.017328,-1.183466,.2366246,-6.341328,1.566451
"log2mic:rv1979c_247_indel",4.608782,.9938667,4.637223,3.53e-06,2.660839,6.556725
"log2mic:rv1979c_r409q",.8192607,.5290812,1.548459,.1215118,-.2177195,1.856241
"log2mic:1.lineage",-.0121503,.1451555,-.0837051,.9332909,-.2966499,.2723493
"log2mic:2.lineage",.0616625,.0798837,.7719037,.4401715,-.0949067,.2182318
"log2mic:3.lineage",.3647469,.127693,2.856435,.0042843,.1144731,.6150206
"log2mic:4b.lineage",0,0,,,0,0
"log2mic:6o.lineage",0,0,,,0,0
"log2mic:2b.siteid",0,0,,,0,0
"log2mic:3.siteid",-.9329505,.0933155,-9.997804,0,-1.115846,-.7500554
"log2mic:4.siteid",-.8553367,.1175888,-7.273966,3.49e-13,-1.085806,-.624867
"log2mic:5.siteid",-1.052751,.1099594,-9.573995,0,-1.268267,-.8372343
"log2mic:6.siteid",-.8088415,.1511855,-5.349995,8.80e-08,-1.10516,-.5125234
"log2mic:8.siteid",-1.018622,.1235341,-8.245668,2.22e-16,-1.260744,-.7764991
"log2mic:10.siteid",-.3914592,.1193471,-3.280006,.001038,-.6253752,-.1575432
"log2mic:11.siteid",-1.056327,.5521426,-1.913142,.0557299,-2.138507,.0258526
"log2mic:14.siteid",.0606455,.292708,.2071879,.8358632,-.5130516,.6343427
"log2mic:20.siteid",-.3372392,.2513694,-1.341608,.1797231,-.8299142,.1554358
"log2mic:1b.dummy1",0,0,,,0,0
"log2mic:1b.rif",0,0,,,0,0
"log2mic:3.rif",-.4021853,.1444943,-2.7834,.0053792,-.6853888,-.1189817
"log2mic:1b.inh",0,0,,,0,0
"log2mic:2.inh",-.2603848,.1458653,-1.785105,.0742444,-.5462756,.0255059
"log2mic:3.inh",.1897135,.0834444,2.273531,.0229942,.0261654,.3532616
"log2mic:1b.emb",0,0,,,0,0
"log2mic:2.emb",.1707519,.0962936,1.773243,.0761885,-.0179801,.3594839
"log2mic:3.emb",.4551937,.1018421,4.469603,7.84e-06,.2555868,.6548005
"log2mic:1b.ami",0,0,,,0,0
"log2mic:3.ami",.3510238,.3894311,.9013758,.3673885,-.4122472,1.114295
"log2mic:1b.kan",0,0,,,0,0
"log2mic:3.kan",-.3991031,.3854911,-1.035311,.3005238,-1.154652,.3564456
"log2mic:1b.lev",0,0,,,0,0
"log2mic:3.lev",-.0603965,.1040617,-.5803916,.5616506,-.2643538,.1435607
"log2mic:1b.mxf",0,0,,,0,0
"log2mic:3.mxf",.1651727,.1086099,1.520788,.1283129,-.0476988,.3780442
"log2mic:1b.eth",0,0,,,0,0
"log2mic:2.eth",.0448583,.0928085,.4833425,.6288525,-.1370431,.2267597
"log2mic:3.eth",.1106784,.0833849,1.32732,.1844029,-.052753,.2741099
"log2mic:1b.rfb",0,0,,,0,0
"log2mic:3.rfb",.3440994,.1328164,2.59079,.0095756,.083784,.6044148
"log2mic:1b.lzd",0,0,,,0,0
"log2mic:3.lzd",1.692721,.2238833,7.560729,4.02e-14,1.253918,2.131524
"log2mic:1b.dlm",0,0,,,0,0
"log2mic:3.dlm",.3562341,.2388136,1.491683,.1357823,-.1118319,.8243002
"log2mic:1b.dummy2",0,0,,,0,0
"log2mic:_cons",-4.229441,.0833587,-50.73785,0,-4.392821,-4.066061
"/var(_cons[cluster100])",.2389742,.0526208,4.541437,5.59e-06,.1358392,.3421091
"/var(e.log2mic)",.5202614,.0412001,12.62766,0,.4395106,.6010122
