var,coef,stderr,tstat,pval,ci_lower,ci_upper
"log2mic:fbic_v713l",-.7515541,1.159276,-.6482964,.5167933,-3.023692,1.520584
"log2mic:fbic_d100e",-.7780448,.6102285,-1.275006,.2023073,-1.974071,.4179812
"log2mic:fbia_s35a",3.288462,.690553,4.76207,1.92e-06,1.935003,4.641921
"log2mic:fbia_l113l",.3876006,.2612877,1.483425,.1379617,-.1245139,.8997151
"log2mic:fbic_i453v",-.8385141,1.398641,-.5995205,.5488259,-3.579801,1.902772
"log2mic:fbic_v65v",-1.165645,1.397763,-.833936,.404317,-3.905211,1.573921
"log2mic:rv3249c_v210v",-.2901093,1.945986,-.1490809,.8814898,-4.104172,3.523954
"log2mic:fbic_a594s",4.233347,.8724878,4.852041,1.22e-06,2.523302,5.943392
"log2mic:fbic_g15t",-.7780448,1.398263,-.5564367,.5779123,-3.51859,1.9625
"log2mic:rv2983_r133r",-.7780448,.7315442,-1.063565,.2875258,-2.211845,.6557555
"log2mic:rv2983_a32t",-.8385141,1.375964,-.6094012,.5422585,-3.535354,1.858326
"log2mic:fbia_v188i",-.7780448,.6049494,-1.286132,.1983969,-1.963724,.4076342
"log2mic:fbic_a754v",-.8385141,1.375964,-.6094012,.5422585,-3.535354,1.858326
"log2mic:fbia_g248g",8.676486,1.547668,5.606168,2.07e-08,5.643113,11.70986
"log2mic:rv2983_q121h",-.8385141,.7382817,-1.135764,.2560552,-2.28552,.6084915
"log2mic:fgd1_q258q",.0382009,.327451,.1166613,.9071284,-.6035913,.679993
"log2mic:ddn_362_indel",8.676486,1.123248,7.724458,1.13e-14,6.474959,10.87801
"log2mic:fgd1_g168g",.258498,.6727791,.3842241,.7008123,-1.060125,1.577121
"log2mic:rv2983_i59l",-.0376299,.6259884,-.0601128,.9520658,-1.264545,1.189285
"log2mic:fbic_g839a",-.8385141,.872224,-.9613518,.3363753,-2.548042,.8710135
"log2mic:rv2983_a168a",.9109354,.9510303,.9578406,.3381432,-.9530498,2.774921
"log2mic:fbia_q27p",-.7780448,1.160532,-.6704205,.5025898,-3.052647,1.496557
"log2mic:fbib_r253h",-.7515262,1.397627,-.537716,.5907731,-3.490824,1.987772
"log2mic:fgd1_a281a",-.5693053,1.017957,-.5592628,.5759824,-2.564464,1.425853
"log2mic:fbib_e81e",-.7780448,1.375579,-.5656124,.5716573,-3.474131,1.918041
"log2mic:fbib_d437g",-.7780448,1.398263,-.5564367,.5779123,-3.51859,1.9625
"log2mic:rv3249c_r13q",-.7780448,1.944151,-.4001978,.6890109,-4.588511,3.032421
"log2mic:fbic_g166g",.0677517,.7304145,.0927579,.9260959,-1.363835,1.499338
"log2mic:fbia_l289l",-.8385141,1.124326,-.7457927,.4557926,-3.042152,1.365124
"log2mic:fbic_g33a",-.2105603,1.013973,-.2076586,.8354955,-2.197911,1.776791
"log2mic:fbic_l39l",-.7170678,1.20987,-.5926818,.5533941,-3.088369,1.654233
"log2mic:fbic_a505t",-.3438497,.3412941,-1.007488,.3137002,-1.012774,.3250743
"log2mic:rv3249c_t154a",-.2033122,.1771097,-1.147945,.2509912,-.5504408,.1438164
"log2mic:fbic_c90t",-.8385141,1.944423,-.4312406,.6662934,-4.649513,2.972485
"log2mic:ddn_l49p",7.39201,.6362081,11.61886,0,6.145065,8.638955
"log2mic:fbic_k113t",-.8385141,1.944423,-.4312406,.6662934,-4.649513,2.972485
"log2mic:fbic_c4t",-.6389457,.8551654,-.7471604,.4549667,-2.315039,1.037148
